 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    5.4623,    -99.00,      8.70,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.5042,    -99.00,      8.70,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.5455,    -99.00,      8.69,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.5873,    -99.00,      8.69,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.6292,    -99.00,      8.69,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.6705,    -99.00,      8.69,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.7123,    -99.00,      8.68,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.7539,    -99.00,      8.68,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.7956,    -99.00,      8.68,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.8375,    -99.00,      8.67,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.8793,    -99.00,      8.67,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    5.9212,    -99.00,      8.66,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    5.9624,    -99.00,      8.65,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.0042,    -99.00,      8.65,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.0462,    -99.00,      8.64,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.0879,    -99.00,      8.64,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.1292,    -99.00,      8.64,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.1712,    -99.00,      8.64,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.2129,    -99.00,      8.64,    -99.00,      0.00,      6.91,      0.00,    301.90,    340.05,    368.81,
    6.2549,    -99.00,      8.64,    -99.00,      0.00,      6.95,      0.00,    301.90,    340.05,    368.81,
    6.2962,    -99.00,      8.64,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.3379,    -99.00,      8.63,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.3799,    -99.00,      8.63,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.4212,    -99.00,      8.62,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.4630,    -99.00,      8.62,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.5049,    -99.00,      8.62,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.5462,    -99.00,      8.61,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    6.5879,    -99.00,      8.61,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.6299,    -99.00,      8.61,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.6719,    -99.00,      8.61,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.7130,    -99.00,      8.61,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.7549,    -99.00,      8.61,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.7969,    -99.00,      8.61,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.8380,    -99.00,      8.61,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.8799,    -99.00,      8.60,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    6.9219,    -99.00,      8.60,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    6.9637,    -99.00,      8.60,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.0049,    -99.00,      8.60,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.0469,    -99.00,      8.59,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.0882,    -99.00,      8.59,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.1306,    -99.00,      8.59,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.1719,    -99.00,      8.59,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.2139,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.2556,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.2969,    -99.00,      8.58,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.3389,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.3806,    -99.00,      8.58,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.4219,    -99.00,      8.57,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.4639,    -99.00,      8.57,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.5056,    -99.00,      8.57,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.5476,    -99.00,      8.58,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    7.5889,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    7.6306,    -99.00,      8.58,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
