$Lewiston 2019 withdrawals YC 06/15/22,,,
",,,",,,
Julian Day,Fish Hatchery,Power Plant + River,Clear Creek Intake
20.75,0.0283,3.1417245,0.9380884
20.792,0.0283,3.1417245,0.9102412
20.833,0.0283,3.1417245,0.9043548
20.875,0.0283,3.1417245,0.9458709
20.917,0.0283,3.1417245,0.9481632
20.958,0.0283,3.1417245,0.9291739
21,0.0283,3.1417245,0.9160993
21.042,0.0283,3.1417245,0.9149107
21.083,0.0283,3.1417245,0.9383148
21.125,0.0283,3.1417245,0.9226932
21.167,0.0283,3.1417245,0.939843
21.208,0.0283,3.1417245,0.8963176
21.25,0.0283,3.1417245,0.9324284
21.292,0.0283,3.133093,0.9261741
21.333,0.0283,3.1503843,0.9085432
21.375,0.0283,3.1417245,0.9048359
21.417,0.0283,3.1417245,0.8922424
21.458,0.0283,3.133093,0.9249855
21.5,0.0283,3.1417245,0.9228064
21.542,0.0283,3.1503843,0.9433239
21.583,0.0283,3.1417245,0.9239101
21.625,0.0283,3.133093,0.9137221
21.667,0.0283,3.1417245,0.9252119
21.708,0.0283,3.1503843,0.9513611
21.75,0.0283,3.133093,0.9302493
21.792,0.0283,3.1417245,0.9048359
21.833,0.0283,3.1417245,0.9499461
21.875,0.0283,3.1417245,0.9389091
21.917,0.0283,3.1417245,0.9218725
21.958,0.0283,3.1417245,0.927391
22,0.0283,3.1417245,0.930504
22.042,0.0283,3.1417245,0.9173162
22.083,0.0283,3.1417245,0.9086564
22.125,0.0283,3.1417245,0.9249855
22.167,0.0283,3.1417245,0.9650583
22.208,0.0283,3.1417245,0.933617
22.25,0.0283,3.1417245,0.9432107
22.292,0.0283,3.1417245,0.9355131
22.333,0.0283,3.1417245,0.9311266
22.375,0.0283,3.1417245,0.9313247
22.417,0.0283,3.1417245,0.9379469
22.458,0.0283,3.1417245,0.917203
22.5,0.0283,3.1417245,0.9216178
22.542,0.0283,3.1417245,0.9507668
22.583,0.0283,3.1417245,0.9480217
22.625,0.0283,3.1417245,0.937579
22.667,0.0283,3.1417245,0.9237969
22.708,0.0283,3.1417245,0.9313247
22.75,0.0283,3.1417245,0.9359093
22.792,0.0283,3.1417245,0.9480217
22.833,0.0283,3.1417245,0.9245044
22.875,0.0283,3.1417245,0.9378054
22.917,0.0283,3.1417245,0.9361357
22.958,0.0283,3.1417245,0.9518705
23,0.0283,3.133093,0.924278
23.042,0.0283,3.1503843,0.9577286
23.083,0.0283,3.1417245,0.9181369
23.125,0.0283,3.1417245,0.9755859
23.167,0.0283,3.133093,0.9626528
23.208,0.0283,3.1503843,0.9424749
23.25,0.0283,3.1417245,0.9480217
23.292,0.0283,3.1417245,0.9549552
23.333,0.0283,3.133093,0.9552382
23.375,0.0283,3.1417245,0.9122788
23.417,0.0283,3.1417245,0.9041001
23.458,0.0283,3.1503843,0.9506536
23.5,0.0283,3.133093,0.9151371
23.542,0.1179261,3.2754137,0.9492103
23.583,1.6982264,6.8212339,0.9331359
23.625,1.7029525,6.8400817,0.9292871
23.667,1.6935003,6.8023578,0.9232875
23.708,1.6982264,6.8212339,0.9480217
23.75,1.6982264,6.8212339,0.9396166
23.792,1.6982264,6.8212339,0.9021757
23.833,1.6982264,6.8212339,0.9228064
23.875,1.6982264,6.8212339,0.9182501
23.917,1.6982264,6.8212339,0.881545
23.958,1.6982264,6.8212339,0.9569079
24,1.6982264,6.8212339,0.9194387
24.042,1.6982264,6.8212339,0.9688788
24.083,1.6982264,6.8212339,0.9264288
24.125,1.6982264,6.8212339,0.9528044
24.167,1.6982264,6.8212339,0.9504272
24.208,1.6982264,6.8212339,0.9192123
24.25,1.6982264,6.8212339,0.933617
24.292,1.6982264,6.8212339,0.9125052
24.333,1.6982264,6.8212339,0.933617
24.375,1.6982264,6.8212339,0.9090243
24.417,1.6982264,6.8212339,0.9202877
24.458,1.6982264,6.8212339,0.9566532
24.5,1.6982264,6.8212339,0.947767
24.542,1.6982264,6.8212339,0.9363904
24.583,1.6982264,6.8212339,0.9234007
24.625,1.6982264,6.8212339,0.9389091
24.667,1.6982264,6.8212339,0.9213914
24.708,1.6982264,6.8212339,0.9001664
24.75,1.6982264,6.8212339,0.9159578
24.792,1.6982264,6.8212339,0.9120241
24.833,1.6982264,6.8212339,0.9310983
24.875,1.6982264,6.8212339,0.9403241
24.917,1.6935003,6.8023578,0.9264005
24.958,1.7029525,6.8400817,0.9359093
25,1.6982264,6.8212339,0.9229479
25.042,1.6982264,6.8212339,0.9340981
25.083,1.6935003,6.8023578,0.9331359
25.125,1.7029525,6.8400817,0.9445125
25.167,1.6982264,6.8212339,0.9594266
25.208,1.6982264,6.8212339,0.9113166
25.25,1.6982264,6.8212339,0.9412863
25.292,1.6982264,6.8212339,0.9048359
25.333,1.6935003,6.8023578,0.927391
25.375,1.6982264,6.8212339,0.9544741
25.417,1.6982264,6.8212339,0.947767
25.458,1.7029525,6.8400817,0.9492103
25.5,1.6982264,6.8212339,0.9319473
25.542,1.6935003,6.8023578,0.9343528
25.583,1.6982264,6.8212339,0.9338434
25.625,1.7029525,6.8400817,0.9417957
25.667,1.6935003,6.8023578,0.925693
25.708,1.6982264,6.8212339,0.9333906
25.75,1.6982264,6.8212339,0.9350603
25.792,1.6982264,6.8212339,0.9393902
25.833,1.6982264,6.8212339,0.9261741
25.875,1.6982264,6.8212339,0.9352867
25.917,1.6982264,6.8212339,0.8976194
25.958,1.6982264,6.8212339,0.931353
26,1.6982264,6.8212339,0.9361074
26.042,1.6982264,6.8212339,0.8976477
26.083,1.6982264,6.8212339,0.9465784
26.125,1.6982264,6.8212339,0.9258345
26.167,1.6982264,6.8212339,0.9266835
26.208,1.6982264,6.8212339,0.921731
26.25,1.6982264,6.8212339,0.9247308
26.292,1.6982264,6.8212339,0.9065056
26.333,1.6982264,6.8212339,0.9023172
26.375,1.6982264,6.8212339,0.9100997
26.417,1.6982264,6.8212339,0.9378054
26.458,1.6982264,6.8212339,0.9532855
26.5,1.6982264,6.8212339,0.9474274
26.542,1.6982264,6.8212339,0.9408052
26.583,1.6982264,6.8212339,0.9333623
26.625,1.6982264,6.8212339,0.9240233
26.667,1.6982264,6.8212339,0.9192123
26.708,1.6982264,6.8212339,0.9072414
26.75,1.6982264,6.8212339,0.9192123
26.792,1.6982264,6.8212339,0.9456162
26.833,1.6982264,6.8212339,0.9509083
26.875,1.6982264,6.8212339,0.9026568
26.917,1.6935003,6.8023578,0.9290607
26.958,1.7029525,6.8400817,0.9393619
27,1.6982264,6.8212339,0.95088
27.042,1.6982264,6.8212339,0.9602473
27.083,1.6935003,6.8023578,0.9520969
27.125,1.7029525,6.8400817,0.9427296
27.167,1.6982264,6.8212339,0.9148824
27.208,1.6982264,6.8212339,0.9292871
27.25,1.6935003,6.8023578,0.9509083
27.292,1.7029525,6.8400817,0.9117694
27.333,1.6982264,6.8212339,0.9211367
27.375,1.6935003,6.8023578,0.9535402
27.417,1.6982264,6.8212339,0.9592851
27.458,1.7029525,6.8400817,0.9552099
27.5,1.6982264,6.8212339,0.9125052
27.542,1.6935003,6.8023578,0.9410599
27.583,1.6982264,6.8212339,0.9480217
27.625,1.6982264,6.8212339,0.9480217
27.667,1.7029525,6.8400817,0.9502008
27.708,1.6935003,6.8023578,0.8916198
27.75,1.6982264,6.8212339,0.9321737
27.792,1.6982264,6.8212339,0.9453898
27.833,1.6982264,6.8212339,0.9333906
27.875,1.6982264,6.8212339,0.9055434
27.917,1.6982264,6.8212339,0.9228064
27.958,1.6982264,6.8212339,0.9252119
28,1.6982264,6.8212339,0.9539081
28.042,1.6982264,6.8212339,0.9002513
28.083,1.6982264,6.8212339,0.9258062
28.125,1.6982264,6.8212339,0.9369564
28.167,1.6982264,6.8212339,0.9637282
28.208,1.6982264,6.8212339,0.919467
28.25,1.6982264,6.8212339,0.9328812
28.292,1.6982264,6.8212339,0.9163257
28.333,1.6982264,6.8212339,0.9410599
