$Trinity Br1 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
22.958,39.24677899
23,31.26150361
23.042,31.26150361
23.083,31.26150361
23.125,31.26150361
23.167,31.26150361
23.208,31.26150361
23.25,31.26150361
23.292,31.26150361
23.333,31.26150361
23.375,31.26150361
23.417,31.26150361
23.458,31.26150361
23.5,31.26150361
23.542,31.26150361
23.583,31.26150361
23.625,31.26150361
23.667,31.26150361
23.708,31.26150361
23.75,31.26150361
23.792,31.26150361
23.833,31.26150361
23.875,31.26150361
23.917,31.26150361
23.958,31.26150361
24,27.66529803
24.042,27.66529803
24.083,27.66529803
24.125,27.66529803
24.167,27.66529803
24.208,27.66529803
24.25,27.66529803
24.292,27.66529803
24.333,27.66529803
24.375,27.66529803
24.417,27.66529803
24.458,27.66529803
24.5,27.66529803
24.542,27.66529803
24.583,27.66529803
24.625,27.66529803
24.667,27.66529803
24.708,27.66529803
24.75,27.66529803
24.792,27.66529803
24.833,27.66529803
24.875,27.66529803
24.917,27.66529803
24.958,27.66529803
25,22.05861532
25.042,22.05861532
25.083,22.05861532
25.125,22.05861532
25.167,22.05861532
25.208,22.05861532
25.25,22.05861532
25.292,22.05861532
25.333,22.05861532
25.375,22.05861532
25.417,22.05861532
25.458,22.05861532
25.5,22.05861532
25.542,22.05861532
25.583,22.05861532
25.625,22.05861532
25.667,22.05861532
25.708,22.05861532
25.75,22.05861532
25.792,22.05861532
25.833,22.05861532
25.875,22.05861532
25.917,22.05861532
25.958,22.05861532
26,19.90655529
26.042,19.90655529
26.083,19.90655529
26.125,19.90655529
26.167,19.90655529
26.208,19.90655529
26.25,19.90655529
26.292,19.90655529
26.333,19.90655529
26.375,19.90655529
26.417,19.90655529
26.458,19.90655529
26.5,19.90655529
26.542,19.90655529
26.583,19.90655529
26.625,19.90655529
26.667,19.90655529
26.708,19.90655529
26.75,19.90655529
26.792,19.90655529
26.833,19.90655529
26.875,19.90655529
26.917,19.90655529
26.958,19.90655529
27,20.72773609
27.042,20.72773609
27.083,20.72773609
27.125,20.72773609
27.167,20.72773609
27.208,20.72773609
27.25,20.72773609
27.292,20.72773609
27.333,20.72773609
27.375,20.72773609
27.417,20.72773609
27.458,20.72773609
27.5,20.72773609
27.542,20.72773609
27.583,20.72773609
27.625,20.72773609
27.667,20.72773609
27.708,20.72773609
27.75,20.72773609
27.792,20.72773609
27.833,20.72773609
27.875,20.72773609
27.917,20.72773609
27.958,20.72773609
28,20.1614045
28.042,20.1614045
28.083,20.1614045
28.125,20.1614045
28.167,20.1614045
28.208,20.1614045
28.25,20.1614045
28.292,20.1614045
28.333,20.1614045
28.375,20.1614045
28.417,20.1614045
28.458,20.1614045
28.5,20.1614045
28.542,20.1614045
28.583,20.1614045
28.625,20.1614045
28.667,20.1614045
28.708,20.1614045
28.75,20.1614045
28.792,20.1614045
28.833,20.1614045
28.875,20.1614045
28.917,20.1614045
28.958,20.1614045
29,22.51168059
29.042,22.51168059
29.083,22.51168059
29.125,22.51168059
29.167,22.51168059
29.208,22.51168059
29.25,22.51168059
29.292,22.51168059
29.333,22.51168059
29.375,22.51168059
29.417,22.51168059
29.458,22.51168059
29.5,22.51168059
29.542,22.51168059
29.583,22.51168059
29.625,22.51168059
29.667,22.51168059
29.708,22.51168059
29.75,22.51168059
29.792,22.51168059
29.833,22.51168059
29.875,22.51168059
29.917,22.51168059
29.958,22.51168059
30,22.62494691
30.042,22.62494691
30.083,22.62494691
30.125,22.62494691
30.167,22.62494691
30.208,22.62494691
30.25,22.62494691
30.292,22.62494691
30.333,22.62494691
30.375,22.62494691
30.417,22.62494691
30.458,22.62494691
30.5,22.62494691
30.542,22.62494691
30.583,22.62494691
30.625,22.62494691
30.667,22.62494691
30.708,22.62494691
30.75,22.62494691
30.792,22.62494691
30.833,22.62494691
30.875,22.62494691
30.917,22.62494691
30.958,22.62494691
31,20.52952003
31.042,20.52952003
31.083,20.52952003
31.125,20.52952003
31.167,20.52952003
31.208,20.52952003
31.25,20.52952003
31.292,20.52952003
31.333,20.52952003
31.375,20.52952003
31.417,20.52952003
31.458,20.52952003
31.5,20.52952003
31.542,20.52952003
31.583,20.52952003
31.625,20.52952003
31.667,20.52952003
31.708,20.52952003
31.75,20.52952003
31.792,20.52952003
31.833,20.52952003
31.875,20.52952003
31.917,20.52952003
31.958,20.52952003
32,28.2599462
32.042,28.2599462
32.083,28.2599462
32.125,28.2599462
32.167,28.2599462
32.208,28.2599462
32.25,28.2599462
32.292,28.2599462
32.333,28.2599462
32.375,28.2599462
32.417,28.2599462
32.458,28.2599462
32.5,28.2599462
32.542,28.2599462
32.583,28.2599462
32.625,28.2599462
32.667,28.2599462
32.708,28.2599462
32.75,28.2599462
32.792,28.2599462
32.833,28.2599462
32.875,28.2599462
32.917,28.2599462
32.958,28.2599462
33,53.23516919
33.042,53.23516919
33.083,53.23516919
33.125,53.23516919
33.167,53.23516919
33.208,53.23516919
33.25,53.23516919
33.292,53.23516919
33.333,53.23516919
33.375,53.23516919
33.417,53.23516919
33.458,53.23516919
33.5,53.23516919
33.542,53.23516919
33.583,53.23516919
33.625,53.23516919
33.667,53.23516919
33.708,53.23516919
33.75,53.23516919
33.792,53.23516919
33.833,53.23516919
33.875,53.23516919
33.917,53.23516919
33.958,53.23516919
34,45.22157723
34.042,45.22157723
34.083,45.22157723
34.125,45.22157723
34.167,45.22157723
34.208,45.22157723
34.25,45.22157723
34.292,45.22157723
34.333,45.22157723
34.375,45.22157723
34.417,45.22157723
34.458,45.22157723
34.5,45.22157723
34.542,45.22157723
34.583,45.22157723
34.625,45.22157723
34.667,45.22157723
34.708,45.22157723
34.75,45.22157723
34.792,45.22157723
34.833,45.22157723
34.875,45.22157723
34.917,45.22157723
34.958,45.22157723
35,36.64165369
35.042,36.64165369
35.083,36.64165369
35.125,36.64165369
35.167,36.64165369
35.208,36.64165369
35.25,36.64165369
35.292,36.64165369
35.333,36.64165369
35.375,36.64165369
35.417,36.64165369
35.458,36.64165369
35.5,36.64165369
35.542,36.64165369
35.583,36.64165369
35.625,36.64165369
35.667,36.64165369
35.708,36.64165369
35.75,36.64165369
35.792,36.64165369
35.833,36.64165369
35.875,36.64165369
35.917,36.64165369
35.958,36.64165369
36,29.70409175
36.042,29.70409175
36.083,29.70409175
36.125,29.70409175
36.167,29.70409175
36.208,29.70409175
36.25,29.70409175
36.292,29.70409175
36.333,29.70409175
36.375,29.70409175
36.417,29.70409175
36.458,29.70409175
36.5,29.70409175
36.542,29.70409175
36.583,29.70409175
36.625,29.70409175
36.667,29.70409175
36.708,29.70409175
36.75,29.70409175
36.792,29.70409175
36.833,29.70409175
36.875,29.70409175
36.917,29.70409175
36.958,29.70409175
37,24.12572561
37.042,24.12572561
37.083,24.12572561
37.125,24.12572561
37.167,24.12572561
37.208,24.12572561
37.25,24.12572561
37.292,24.12572561
37.333,24.12572561
37.375,24.12572561
37.417,24.12572561
37.458,24.12572561
37.5,24.12572561
37.542,24.12572561
37.583,24.12572561
37.625,24.12572561
37.667,24.12572561
37.708,24.12572561
37.75,24.12572561
37.792,24.12572561
37.833,24.12572561
37.875,24.12572561
37.917,24.12572561
37.958,24.12572561
38,21.29406768
38.042,21.29406768
38.083,21.29406768
38.125,21.29406768
38.167,21.29406768
38.208,21.29406768
38.25,21.29406768
38.292,21.29406768
38.333,21.29406768
38.375,21.29406768
38.417,21.29406768
38.458,21.29406768
38.5,21.29406768
38.542,21.29406768
38.583,21.29406768
38.625,21.29406768
38.667,21.29406768
38.708,21.29406768
38.75,21.29406768
38.792,21.29406768
38.833,21.29406768
38.875,21.29406768
38.917,21.29406768
38.958,21.29406768
39,17.92439473
39.042,17.92439473
39.083,17.92439473
39.125,17.92439473
39.167,17.92439473
39.208,17.92439473
39.25,17.92439473
39.292,17.92439473
39.333,17.92439473
39.375,17.92439473
39.417,17.92439473
39.458,17.92439473
39.5,17.92439473
39.542,17.92439473
39.583,17.92439473
39.625,17.92439473
39.667,17.92439473
39.708,17.92439473
39.75,17.92439473
39.792,17.92439473
39.833,17.92439473
39.875,17.92439473
39.917,17.92439473
39.958,17.92439473
40,18.46240974
40.042,18.46240974
40.083,18.46240974
40.125,18.46240974
40.167,18.46240974
40.208,18.46240974
40.25,18.46240974
40.292,18.46240974
40.333,18.46240974
40.375,18.46240974
40.417,18.46240974
40.458,18.46240974
40.5,18.46240974
40.542,18.46240974
40.583,18.46240974
40.625,18.46240974
40.667,18.46240974
40.708,18.46240974
40.75,18.46240974
40.792,18.46240974
40.833,18.46240974
40.875,18.46240974
40.917,18.46240974
40.958,18.46240974
41,15.57411865
41.042,15.57411865
41.083,15.57411865
41.125,15.57411865
41.167,15.57411865
41.208,15.57411865
41.25,15.57411865
41.292,15.57411865
41.333,15.57411865
41.375,15.57411865
41.417,15.57411865
41.458,15.57411865
41.5,15.57411865
41.542,15.57411865
41.583,15.57411865
41.625,15.57411865
41.667,15.57411865
41.708,15.57411865
41.75,15.57411865
41.792,15.57411865
41.833,15.57411865
41.875,15.57411865
41.917,15.57411865
41.958,15.57411865
42,14.271556
42.042,14.271556
42.083,14.271556
42.125,14.271556
42.167,14.271556
42.208,14.271556
42.25,14.271556
42.292,14.271556
42.333,14.271556
42.375,14.271556
42.417,14.271556
42.458,14.271556
42.5,14.271556
42.542,14.271556
42.583,14.271556
42.625,14.271556
42.667,14.271556
42.708,14.271556
42.75,14.271556
42.792,14.271556
42.833,14.271556
42.875,14.271556
42.917,14.271556
42.958,14.271556
43,21.40733399
43.042,21.40733399
43.083,21.40733399
43.125,21.40733399
43.167,21.40733399
43.208,21.40733399
43.25,21.40733399
43.292,21.40733399
43.333,21.40733399
43.375,21.40733399
43.417,21.40733399
43.458,21.40733399
43.5,21.40733399
43.542,21.40733399
43.583,21.40733399
43.625,21.40733399
43.667,21.40733399
43.708,21.40733399
43.75,21.40733399
43.792,21.40733399
43.833,21.40733399
43.875,21.40733399
43.917,21.40733399
43.958,21.40733399
44,25.20175563
44.042,25.20175563
44.083,25.20175563
44.125,25.20175563
44.167,25.20175563
44.208,25.20175563
44.25,25.20175563
44.292,25.20175563
44.333,25.20175563
44.375,25.20175563
44.417,25.20175563
44.458,25.20175563
44.5,25.20175563
44.542,25.20175563
44.583,25.20175563
44.625,25.20175563
44.667,25.20175563
44.708,25.20175563
44.75,25.20175563
44.792,25.20175563
44.833,25.20175563
44.875,25.20175563
44.917,25.20175563
44.958,25.20175563
45,53.57496814
45.042,53.57496814
45.083,53.57496814
45.125,53.57496814
45.167,53.57496814
45.208,53.57496814
45.25,53.57496814
45.292,53.57496814
45.333,53.57496814
45.375,53.57496814
45.417,53.57496814
45.458,53.57496814
45.5,53.57496814
45.542,53.57496814
45.583,53.57496814
45.625,53.57496814
45.667,53.57496814
45.708,53.57496814
45.75,53.57496814
45.792,53.57496814
45.833,53.57496814
45.875,53.57496814
45.917,53.57496814
45.958,53.57496814
46,43.69248195
46.042,43.69248195
46.083,43.69248195
46.125,43.69248195
46.167,43.69248195
46.208,43.69248195
46.25,43.69248195
46.292,43.69248195
46.333,43.69248195
46.375,43.69248195
46.417,43.69248195
46.458,43.69248195
46.5,43.69248195
46.542,43.69248195
46.583,43.69248195
46.625,43.69248195
46.667,43.69248195
46.708,43.69248195
46.75,43.69248195
46.792,43.69248195
46.833,43.69248195
46.875,43.69248195
46.917,43.69248195
46.958,43.69248195
47,31.99773467
47.042,31.99773467
47.083,31.99773467
47.125,31.99773467
47.167,31.99773467
47.208,31.99773467
47.25,31.99773467
47.292,31.99773467
47.333,31.99773467
47.375,31.99773467
47.417,31.99773467
47.458,31.99773467
47.5,31.99773467
47.542,31.99773467
47.583,31.99773467
47.625,31.99773467
47.667,31.99773467
47.708,31.99773467
47.75,31.99773467
47.792,31.99773467
47.833,31.99773467
47.875,31.99773467
47.917,31.99773467
47.958,31.99773467
48,25.88135353
48.042,25.88135353
48.083,25.88135353
48.125,25.88135353
48.167,25.88135353
48.208,25.88135353
48.25,25.88135353
48.292,25.88135353
48.333,25.88135353
48.375,25.88135353
48.417,25.88135353
48.458,25.88135353
48.5,25.88135353
48.542,25.88135353
48.583,25.88135353
48.625,25.88135353
48.667,25.88135353
48.708,25.88135353
48.75,25.88135353
48.792,25.88135353
48.833,25.88135353
48.875,25.88135353
48.917,25.88135353
48.958,25.88135353
49,21.88871584
49.042,21.88871584
49.083,21.88871584
49.125,21.88871584
49.167,21.88871584
49.208,21.88871584
49.25,21.88871584
49.292,21.88871584
49.333,21.88871584
49.375,21.88871584
49.417,21.88871584
49.458,21.88871584
49.5,21.88871584
49.542,21.88871584
49.583,21.88871584
49.625,21.88871584
49.667,21.88871584
49.708,21.88871584
49.75,21.88871584
49.792,21.88871584
49.833,21.88871584
49.875,21.88871584
49.917,21.88871584
49.958,21.88871584
50,19.00042475
50.042,19.00042475
50.083,19.00042475
50.125,19.00042475
50.167,19.00042475
50.208,19.00042475
50.25,19.00042475
50.292,19.00042475
50.333,19.00042475
50.375,19.00042475
