Constituent,Julian_day,Seg_50 ,Seg_51 ,Seg_52 ,Seg_77 ,Seg_78 ,Seg_79 ,Seg_72 ,Seg_107,
Temperature,    83.584,       9.889,      10.025,      10.069,       9.597,       9.738,       9.424,       9.576,       9.331,
Temperature,    83.626,       9.870,      10.047,      10.108,       9.604,       9.714,       9.436,       9.563,       9.311,
Temperature,    83.668,       9.842,      10.089,      10.152,       9.603,       9.665,       9.442,       9.543,       9.291,
Temperature,    83.709,       9.850,      10.149,      10.195,       9.588,       9.635,       9.443,       9.523,       9.279,
Temperature,    83.751,       9.911,      10.150,      10.172,       9.575,       9.670,       9.438,       9.504,       9.265,
Temperature,    83.792,       9.964,      10.156,      10.126,       9.616,       9.743,       9.431,       9.492,       9.261,
Temperature,    83.834,       9.948,      10.161,      10.147,       9.664,       9.775,       9.425,       9.484,       9.273,
Temperature,    83.876,       9.911,      10.134,      10.145,       9.681,       9.782,       9.419,       9.478,       9.294,
Temperature,    83.917,       9.874,      10.101,      10.127,       9.668,       9.764,       9.412,       9.470,       9.315,
Temperature,    83.959,       9.885,      10.116,      10.114,       9.628,       9.714,       9.406,       9.460,       9.340,
Temperature,    84.001,       9.899,      10.106,      10.104,       9.571,       9.636,       9.399,       9.450,       9.368,
Temperature,    84.043,       9.912,      10.090,      10.090,       9.506,       9.548,       9.391,       9.445,       9.391,
Temperature,    84.084,       9.919,      10.072,      10.074,       9.451,       9.484,       9.384,       9.451,       9.404,
Temperature,    84.126,       9.920,      10.056,      10.058,       9.417,       9.449,       9.377,       9.467,       9.416,
Temperature,    84.168,       9.920,      10.041,      10.043,       9.403,       9.436,       9.370,       9.491,       9.425,
Temperature,    84.209,       9.918,      10.027,      10.029,       9.401,       9.437,       9.363,       9.512,       9.426,
Temperature,    84.251,       9.913,      10.013,      10.016,       9.403,       9.441,       9.357,       9.523,       9.421,
Temperature,    84.293,       9.910,      10.000,      10.004,       9.405,       9.440,       9.351,       9.521,       9.411,
Temperature,    84.334,       9.913,       9.993,       9.997,       9.409,       9.443,       9.348,       9.508,       9.399,
Temperature,    84.376,       9.921,       9.992,       9.979,       9.417,       9.449,       9.350,       9.489,       9.388,
Temperature,    84.418,       9.936,       9.986,       9.905,       9.432,       9.461,       9.357,       9.474,       9.382,
Temperature,    84.459,       9.949,       9.940,       9.825,       9.456,       9.485,       9.374,       9.473,       9.384,
Temperature,    84.501,       9.929,       9.869,       9.826,       9.487,       9.514,       9.398,       9.486,       9.395,
Temperature,    84.543,       9.904,       9.866,       9.846,       9.522,       9.544,       9.424,       9.507,       9.411,
Temperature,    84.584,       9.887,       9.962,       9.890,       9.554,       9.574,       9.449,       9.530,       9.435,
Temperature,    84.626,       9.889,      10.008,       9.912,       9.585,       9.621,       9.474,       9.549,       9.465,
Temperature,    84.668,       9.852,      10.011,       9.928,       9.607,       9.659,       9.495,       9.561,       9.494,
Temperature,    84.709,       9.813,      10.078,       9.967,       9.614,       9.659,       9.506,       9.566,       9.509,
Temperature,    84.751,       9.816,      10.093,       9.959,       9.612,       9.652,       9.508,       9.568,       9.523,
Temperature,    84.792,       9.870,       9.974,       9.874,       9.607,       9.643,       9.509,       9.571,       9.547,
Temperature,    84.834,       9.938,       9.921,       9.823,       9.616,       9.658,       9.539,       9.575,       9.563,
Temperature,    84.876,      10.045,       9.908,       9.807,       9.643,       9.682,       9.542,       9.579,       9.578,
Temperature,    84.917,      10.114,       9.913,       9.811,       9.668,       9.725,       9.532,       9.580,       9.589,
Temperature,    84.959,      10.068,       9.902,       9.808,       9.690,       9.759,       9.528,       9.577,       9.588,
Temperature,    85.001,      10.070,       9.886,       9.790,       9.707,       9.765,       9.520,       9.573,       9.588,
Temperature,    85.043,      10.075,       9.867,       9.767,       9.715,       9.767,       9.513,       9.568,       9.587,
Temperature,    85.084,      10.058,       9.840,       9.744,       9.721,       9.777,       9.505,       9.563,       9.587,
Temperature,    85.126,      10.017,       9.797,       9.714,       9.729,       9.800,       9.498,       9.558,       9.587,
Temperature,    85.168,       9.960,       9.737,       9.672,       9.736,       9.822,       9.490,       9.553,       9.584,
Temperature,    85.209,       9.918,       9.698,       9.631,       9.743,       9.821,       9.482,       9.547,       9.573,
Temperature,    85.251,       9.879,       9.677,       9.610,       9.739,       9.805,       9.474,       9.541,       9.576,
Temperature,    85.292,       9.852,       9.661,       9.596,       9.729,       9.804,       9.449,       9.536,       9.585,
Temperature,    85.334,       9.845,       9.648,       9.580,       9.726,       9.798,       9.437,       9.533,       9.596,
Temperature,    85.376,       9.861,       9.643,       9.563,       9.724,       9.781,       9.442,       9.536,       9.616,
Temperature,    85.418,       9.916,       9.667,       9.554,       9.740,       9.781,       9.454,       9.549,       9.650,
Temperature,    85.459,       9.981,       9.717,       9.565,       9.772,       9.805,       9.472,       9.570,       9.706,
Temperature,    85.501,      10.087,       9.894,       9.625,       9.770,       9.795,       9.492,       9.595,       9.774,
Temperature,    85.543,      10.173,       9.954,       9.696,       9.739,       9.775,       9.515,       9.620,       9.859,
Temperature,    85.584,      10.162,       9.870,       9.676,       9.787,       9.790,       9.539,       9.642,       9.893,
Temperature,    85.626,      10.142,       9.811,       9.610,       9.842,       9.845,       9.561,       9.662,       9.901,
Temperature,    85.668,      10.140,       9.736,       9.560,       9.929,       9.927,       9.580,       9.680,       9.899,
Temperature,    85.709,      10.139,       9.638,       9.498,      10.039,      10.059,       9.592,       9.690,       9.884,
Temperature,    85.751,      10.125,       9.584,       9.448,      10.130,      10.241,       9.598,       9.698,       9.860,
Temperature,    85.792,      10.102,       9.601,       9.448,      10.195,      10.360,       9.598,       9.698,       9.836,
Temperature,    85.834,      10.056,       9.634,       9.470,      10.229,      10.399,       9.594,       9.691,       9.814,
Temperature,    85.876,       9.970,       9.611,       9.476,      10.221,      10.348,       9.594,       9.685,       9.812,
Temperature,    85.917,       9.892,       9.565,       9.450,      10.166,      10.252,       9.590,       9.686,       9.826,
Temperature,    85.959,       9.787,       9.478,       9.412,      10.088,      10.183,       9.584,       9.696,       9.853,
Temperature,    86.001,       9.758,       9.440,       9.373,      10.039,      10.137,       9.578,       9.709,       9.889,
Temperature,    86.043,       9.739,       9.434,       9.357,       9.997,      10.098,       9.572,       9.719,       9.924,
Temperature,    86.084,       9.735,       9.439,       9.357,       9.965,      10.056,       9.567,       9.723,       9.938,
Temperature,    86.126,       9.754,       9.451,       9.360,       9.938,      10.023,       9.560,       9.723,       9.926,
Temperature,    86.168,       9.776,       9.470,       9.365,       9.922,      10.001,       9.554,       9.721,       9.889,
Temperature,    86.209,       9.766,       9.480,       9.373,       9.922,       9.997,       9.547,       9.717,       9.846,
Temperature,    86.251,       9.741,       9.473,       9.371,       9.926,      10.014,       9.539,       9.713,       9.797,
Temperature,    86.292,       9.722,       9.462,       9.362,       9.941,      10.071,       9.494,       9.713,       9.760,
Temperature,    86.334,       9.708,       9.447,       9.357,       9.953,      10.070,       9.472,       9.720,       9.734,
Temperature,    86.376,       9.716,       9.434,       9.351,       9.939,      10.001,       9.480,       9.737,       9.716,
Temperature,    86.418,       9.769,       9.461,       9.362,       9.927,       9.989,       9.495,       9.759,       9.733,
Temperature,    86.459,       9.837,       9.515,       9.401,       9.945,      10.015,       9.518,       9.781,       9.794,
Temperature,    86.501,       9.913,       9.551,       9.441,       9.965,      10.050,       9.545,       9.799,       9.851,
Temperature,    86.543,      10.010,       9.591,       9.472,       9.979,      10.039,       9.573,       9.815,       9.889,
Temperature,    86.584,      10.102,       9.662,       9.515,       9.974,      10.006,       9.601,       9.828,       9.929,
Temperature,    86.626,      10.147,       9.723,       9.558,       9.985,      10.011,       9.629,       9.840,       9.964,
Temperature,    86.668,      10.151,       9.753,       9.582,      10.002,      10.059,       9.652,       9.851,       9.967,
Temperature,    86.709,      10.168,       9.716,       9.567,      10.036,      10.105,       9.668,       9.868,       9.961,
Temperature,    86.751,      10.150,       9.656,       9.539,      10.068,      10.129,       9.677,       9.891,       9.952,
Temperature,    86.793,      10.118,       9.572,       9.494,      10.097,      10.175,       9.679,       9.908,       9.932,
Temperature,    86.834,      10.103,       9.514,       9.454,      10.136,      10.241,       9.660,       9.908,       9.914,
Temperature,    86.876,      10.088,       9.486,       9.431,      10.159,      10.242,       9.654,       9.896,       9.918,
Temperature,    86.918,      10.065,       9.459,       9.417,      10.151,      10.227,       9.651,       9.885,       9.928,
Temperature,    86.959,      10.057,       9.442,       9.407,      10.133,      10.245,       9.647,       9.879,       9.944,
Temperature,    87.001,      10.055,       9.439,       9.404,      10.127,      10.250,       9.643,       9.877,       9.960,
Temperature,    87.043,      10.066,       9.443,       9.407,      10.122,      10.233,       9.639,       9.873,       9.978,
Temperature,    87.084,      10.087,       9.450,       9.413,      10.112,      10.226,       9.635,       9.870,       9.979,
Temperature,    87.126,      10.129,       9.465,       9.422,      10.113,      10.233,       9.632,       9.866,       9.966,
Temperature,    87.168,      10.185,       9.493,       9.434,      10.130,      10.254,       9.628,       9.863,       9.960,
Temperature,    87.209,      10.205,       9.538,       9.454,      10.142,      10.268,       9.623,       9.860,       9.960,
Temperature,    87.251,      10.207,       9.602,       9.483,      10.145,      10.262,       9.619,       9.857,       9.965,
Temperature,    87.293,      10.183,       9.651,       9.521,      10.139,      10.264,       9.616,       9.855,       9.983,
Temperature,    87.334,      10.160,       9.664,       9.546,      10.140,      10.261,       9.618,       9.855,       9.986,
Temperature,    87.376,      10.165,       9.689,       9.555,      10.176,      10.278,       9.628,       9.863,      10.012,
Temperature,    87.418,      10.192,       9.734,       9.576,      10.245,      10.372,       9.646,       9.880,      10.077,
Temperature,    87.459,      10.254,       9.797,       9.618,      10.334,      10.469,       9.671,       9.900,      10.143,
Temperature,    87.501,      10.313,       9.818,       9.650,      10.380,      10.519,       9.700,       9.915,      10.178,
Temperature,    87.543,      10.372,       9.817,       9.658,      10.399,      10.493,       9.732,       9.930,      10.185,
Temperature,    87.584,      10.398,       9.854,       9.696,      10.394,      10.463,       9.764,       9.957,      10.216,
Temperature,    87.626,      10.380,       9.917,       9.748,      10.405,      10.507,       9.794,       9.998,      10.249,
Temperature,    87.668,      10.364,       9.988,       9.783,      10.408,      10.540,       9.820,      10.049,      10.279,
Temperature,    87.709,      10.352,       9.990,       9.799,      10.404,      10.504,       9.839,      10.098,      10.308,
Temperature,    87.751,      10.491,       9.924,       9.752,      10.393,      10.499,       9.850,      10.118,      10.300,
Temperature,    87.793,      10.537,       9.867,       9.724,      10.385,      10.511,       9.855,      10.117,      10.273,
Temperature,    87.834,      10.559,       9.793,       9.673,      10.382,      10.501,       9.855,      10.127,      10.236,
Temperature,    87.876,      10.580,       9.771,       9.637,      10.371,      10.477,       9.854,      10.162,      10.199,
Temperature,    87.918,      10.449,       9.719,       9.617,      10.340,      10.450,       9.851,      10.190,      10.179,
Temperature,    87.959,      10.484,       9.700,       9.600,      10.293,      10.384,       9.847,      10.190,      10.171,
Temperature,    88.001,      10.561,       9.723,       9.596,      10.233,      10.312,       9.843,      10.176,      10.156,
Temperature,    88.043,      10.562,       9.753,       9.615,      10.199,      10.277,       9.838,      10.164,      10.147,
Temperature,    88.084,      10.469,       9.709,       9.614,      10.206,      10.309,       9.832,      10.158,      10.144,
Temperature,    88.126,      10.425,       9.638,       9.571,      10.226,      10.370,       9.827,      10.145,      10.128,
Temperature,    88.168,      10.443,       9.615,       9.530,      10.240,      10.381,       9.821,      10.123,      10.090,
Temperature,    88.209,      10.438,       9.614,       9.525,      10.239,      10.366,       9.816,      10.099,      10.056,
Temperature,    88.251,      10.414,       9.616,       9.530,      10.237,      10.364,       9.811,      10.080,      10.040,
Temperature,    88.293,      10.390,       9.614,       9.535,      10.241,      10.368,       9.807,      10.075,      10.040,
Temperature,    88.334,      10.380,       9.621,       9.546,      10.241,      10.367,       9.808,      10.085,      10.055,
Temperature,    88.376,      10.386,       9.643,       9.569,      10.240,      10.358,       9.816,      10.096,      10.088,
Temperature,    88.418,      10.407,       9.664,       9.596,      10.253,      10.370,       9.832,      10.098,      10.121,
Temperature,    88.459,      10.478,       9.696,       9.625,      10.293,      10.413,       9.855,      10.100,      10.152,
Temperature,    88.501,      10.571,       9.745,       9.661,      10.358,      10.490,       9.882,      10.115,      10.187,
Temperature,    88.543,      10.662,       9.803,       9.708,      10.429,      10.567,       9.911,      10.138,      10.210,
Temperature,    88.584,      10.733,       9.889,       9.763,      10.480,      10.605,       9.937,      10.160,      10.244,
Temperature,    88.626,      10.722,       9.938,       9.814,      10.491,      10.622,       9.958,      10.180,      10.269,
Temperature,    88.668,      10.681,       9.939,       9.838,      10.500,      10.626,       9.976,      10.206,      10.268,
Temperature,    88.709,      10.617,       9.963,       9.860,      10.510,      10.627,       9.991,      10.239,      10.289,
Temperature,    88.751,      10.691,       9.953,       9.869,      10.511,      10.647,      10.001,      10.264,      10.292,
Temperature,    88.793,      10.695,       9.980,       9.878,      10.494,      10.627,      10.003,      10.273,      10.293,
Temperature,    88.834,      10.786,       9.985,       9.881,      10.473,      10.598,      10.000,      10.267,      10.292,
Temperature,    88.876,      10.991,       9.990,       9.868,      10.476,      10.621,       9.996,      10.256,      10.282,
Temperature,    88.917,      11.126,      10.045,       9.893,      10.482,      10.633,       9.991,      10.241,      10.268,
Temperature,    88.959,      10.984,      10.022,       9.920,      10.466,      10.606,       9.986,      10.227,      10.252,
Temperature,    89.001,      10.896,      10.010,       9.931,      10.414,      10.537,       9.980,      10.213,      10.232,
Temperature,    89.043,      10.778,       9.992,       9.937,      10.363,      10.472,       9.973,      10.211,      10.226,
Temperature,    89.084,      10.674,       9.976,       9.943,      10.331,      10.446,       9.967,      10.216,      10.228,
Temperature,    89.126,      10.571,       9.967,       9.947,      10.313,      10.438,       9.960,      10.207,      10.205,
Temperature,    89.168,      10.516,       9.971,       9.954,      10.296,      10.412,       9.953,      10.186,      10.172,
Temperature,    89.209,      10.505,       9.978,       9.965,      10.277,      10.394,       9.945,      10.171,      10.129,
Temperature,    89.251,      10.555,       9.992,       9.977,      10.262,      10.383,       9.937,      10.172,      10.083,
Temperature,    89.292,      10.726,      10.042,       9.990,      10.246,      10.367,       9.930,      10.184,      10.050,
Temperature,    89.334,      10.746,      10.093,      10.023,      10.228,      10.348,       9.930,      10.197,      10.029,
Temperature,    89.376,      10.765,      10.127,      10.058,      10.214,      10.327,       9.938,      10.209,      10.028,
Temperature,    89.418,      10.722,      10.148,      10.093,      10.202,      10.305,       9.953,      10.221,      10.048,
Temperature,    89.459,      10.719,      10.175,      10.130,      10.188,      10.291,       9.970,      10.232,      10.083,
Temperature,    89.501,      10.688,      10.206,      10.182,      10.175,      10.288,       9.988,      10.239,      10.087,
Temperature,    89.543,      10.637,      10.280,      10.274,      10.186,      10.283,      10.006,      10.245,      10.079,
Temperature,    89.584,      10.572,      10.490,      10.457,      10.212,      10.300,      10.026,      10.253,      10.065,
Temperature,    89.626,      10.543,      10.851,      10.731,      10.258,      10.374,      10.049,      10.263,      10.050,
Temperature,    89.668,      10.655,      11.084,      10.956,      10.299,      10.441,      10.070,      10.265,      10.041,
Temperature,    89.709,      10.807,      11.229,      11.081,      10.319,      10.459,      10.084,      10.253,      10.031,
Temperature,    89.751,      10.939,      11.365,      11.218,      10.317,      10.447,      10.092,      10.235,      10.027,
Temperature,    89.792,      11.059,      11.530,      11.376,      10.317,      10.446,      10.093,      10.221,      10.034,
Temperature,    89.834,      11.221,      11.729,      11.538,      10.307,      10.431,      10.090,      10.215,      10.065,
Temperature,    89.876,      11.418,      11.855,      11.630,      10.269,      10.385,      10.085,      10.211,      10.099,
Temperature,    89.917,      11.570,      11.856,      11.603,      10.236,      10.346,      10.081,      10.203,      10.124,
Temperature,    89.959,      11.563,      11.792,      11.575,      10.221,      10.323,      10.076,      10.194,      10.133,
Temperature,    90.001,      11.489,      11.773,      11.556,      10.226,      10.327,      10.071,      10.193,      10.125,
Temperature,    90.043,      11.409,      11.728,      11.490,      10.244,      10.352,      10.065,      10.200,      10.101,
Temperature,    90.084,      11.257,      11.577,      11.316,      10.267,      10.377,      10.060,      10.208,      10.076,
Temperature,    90.126,      11.053,      11.362,      11.124,      10.288,      10.394,      10.055,      10.218,      10.062,
Temperature,    90.168,      10.895,      11.201,      10.996,      10.300,      10.411,      10.049,      10.234,      10.067,
Temperature,    90.209,      10.791,      11.130,      10.931,      10.293,      10.410,      10.043,      10.252,      10.077,
Temperature,    90.251,      10.757,      11.099,      10.879,      10.279,      10.387,      10.036,      10.268,      10.084,
Temperature,    90.293,      10.814,      11.032,      10.805,      10.273,      10.372,      10.031,      10.277,      10.111,
Temperature,    90.334,      11.030,      10.945,      10.710,      10.278,      10.374,      10.030,      10.281,      10.151,
Temperature,    90.376,      11.067,      10.899,      10.674,      10.294,      10.392,      10.036,      10.283,      10.186,
Temperature,    90.418,      10.937,      10.825,      10.606,      10.330,      10.428,      10.044,      10.283,      10.206,
Temperature,    90.459,      10.900,      10.764,      10.557,      10.390,      10.496,      10.058,      10.285,      10.226,
Temperature,    90.501,      10.892,      10.803,      10.582,      10.449,      10.596,      10.081,      10.290,      10.242,
Temperature,    90.543,      10.924,      10.893,      10.652,      10.486,      10.640,      10.108,      10.303,      10.238,
Temperature,    90.584,      10.942,      10.985,      10.724,      10.480,      10.605,      10.137,      10.331,      10.231,
Temperature,    90.626,      10.940,      10.999,      10.745,      10.469,      10.595,      10.164,      10.370,      10.253,
Temperature,    90.668,      10.910,      11.064,      10.809,      10.443,      10.597,      10.185,      10.405,      10.272,
Temperature,    90.709,      10.868,      11.219,      10.936,      10.397,      10.537,      10.199,      10.433,      10.251,
Temperature,    90.751,      10.934,      11.261,      10.995,      10.357,      10.492,      10.207,      10.440,      10.195,
Temperature,    90.792,      10.928,      11.405,      11.126,      10.374,      10.523,      10.207,      10.427,      10.131,
Temperature,    90.834,      11.012,      11.693,      11.326,      10.384,      10.539,      10.203,      10.409,      10.078,
Temperature,    90.876,      11.264,      11.758,      11.358,      10.335,      10.457,      10.198,      10.392,      10.056,
Temperature,    90.917,      11.418,      11.591,      11.266,      10.264,      10.374,      10.192,      10.366,      10.075,
Temperature,    90.959,      11.274,      11.728,      11.395,      10.218,      10.328,      10.186,      10.342,      10.103,
Temperature,    91.001,      11.231,      11.950,      11.584,      10.205,      10.308,      10.179,      10.334,      10.131,
Temperature,    91.043,      11.214,      12.028,      11.670,      10.207,      10.326,      10.172,      10.332,      10.129,
Temperature,    91.084,      11.206,      12.046,      11.684,      10.231,      10.343,      10.165,      10.328,      10.100,
Temperature,    91.126,      11.144,      11.967,      11.614,      10.262,      10.374,      10.157,      10.331,      10.086,
Temperature,    91.168,      11.025,      11.788,      11.474,      10.293,      10.425,      10.149,      10.345,      10.070,
Temperature,    91.209,      10.936,      11.627,      11.349,      10.321,      10.454,      10.141,      10.360,      10.065,
Temperature,    91.251,      10.879,      11.515,      11.257,      10.339,      10.464,      10.133,      10.365,      10.080,
Temperature,    91.293,      10.842,      11.417,      11.170,      10.365,      10.487,      10.127,      10.359,      10.118,
Temperature,    91.334,      10.847,      11.320,      11.090,      10.404,      10.538,      10.127,      10.353,      10.172,
Temperature,    91.376,      10.913,      11.259,      11.030,      10.445,      10.585,      10.135,      10.360,      10.226,
Temperature,    91.418,      11.015,      11.197,      10.970,      10.484,      10.615,      10.151,      10.379,      10.291,
Temperature,    91.459,      11.129,      11.119,      10.903,      10.527,      10.662,      10.173,      10.403,      10.354,
Temperature,    91.501,      11.248,      10.974,      10.808,      10.581,      10.741,      10.199,      10.432,      10.404,
Temperature,    91.543,      11.296,      10.830,      10.709,      10.663,      10.834,      10.226,      10.462,      10.407,
Temperature,    91.584,      11.269,      10.868,      10.739,      10.722,      10.885,      10.254,      10.491,      10.417,
Temperature,    91.626,      11.205,      10.987,      10.821,      10.729,      10.902,      10.280,      10.513,      10.420,
Temperature,    91.667,      11.386,      11.030,      10.838,      10.687,      10.844,      10.300,      10.543,      10.435,
Temperature,    91.709,      11.380,      11.100,      10.914,      10.617,      10.770,      10.315,      10.575,      10.434,
Temperature,    91.751,      11.471,      11.112,      10.957,      10.583,      10.751,      10.323,      10.566,      10.373,
Temperature,    91.792,      11.769,      11.149,      10.974,      10.658,      10.849,      10.336,      10.527,      10.341,
Temperature,    91.834,      12.184,      11.296,      11.104,      10.655,      10.876,      10.353,      10.479,      10.298,
Temperature,    91.876,      12.233,      11.418,      11.189,      10.559,      10.718,      10.355,      10.434,      10.258,
Temperature,    91.917,      12.119,      11.295,      11.130,      10.486,      10.639,      10.344,      10.410,      10.265,
Temperature,    91.959,      11.815,      11.696,      11.427,      10.474,      10.627,      10.337,      10.420,      10.282,
Temperature,    92.001,      11.722,      12.051,      11.675,      10.496,      10.657,      10.331,      10.441,      10.280,
Temperature,    92.043,      11.600,      11.889,      11.569,      10.485,      10.632,      10.325,      10.456,      10.258,
Temperature,    92.084,      11.469,      11.838,      11.523,      10.455,      10.591,      10.318,      10.467,      10.234,
Temperature,    92.126,      11.467,      11.810,      11.489,      10.439,      10.567,      10.310,      10.483,      10.239,
Temperature,    92.168,      11.555,      11.635,      11.366,      10.444,      10.581,      10.303,      10.503,      10.266,
Temperature,    92.209,      11.541,      11.493,      11.270,      10.483,      10.618,      10.296,      10.512,      10.275,
Temperature,    92.251,      11.457,      11.477,      11.251,      10.549,      10.689,      10.289,      10.486,      10.293,
Temperature,    92.293,      11.396,      11.472,      11.238,      10.604,      10.768,      10.283,      10.456,      10.333,
Temperature,    92.334,      11.392,      11.327,      11.130,      10.659,      10.831,      10.283,      10.460,      10.383,
Temperature,    92.376,      11.415,      11.220,      11.057,      10.678,      10.852,      10.290,      10.486,      10.423,
Temperature,    92.418,      11.467,      11.141,      11.001,      10.729,      10.902,      10.304,      10.510,      10.450,
Temperature,    92.459,      11.614,      11.241,      11.030,      10.829,      11.002,      10.323,      10.539,      10.543,
Temperature,    92.501,      11.702,      11.322,      11.097,      10.893,      11.088,      10.346,      10.578,      10.629,
Temperature,    92.543,      11.857,      11.370,      11.072,      10.953,      11.089,      10.367,      10.617,      10.705,
Temperature,    92.584,      11.927,      11.571,      11.134,      10.938,      11.071,      10.385,      10.645,      10.898,
Temperature,    92.626,      12.047,      11.287,      10.936,      11.001,      11.161,      10.400,      10.704,      10.950,
Temperature,    92.668,      11.972,      11.045,      10.741,      11.025,      11.158,      10.413,      10.737,      10.977,
Temperature,    92.709,      11.881,      10.758,      10.502,      11.183,      11.357,      10.419,      10.743,      10.913,
Temperature,    92.751,      11.704,      10.699,      10.428,      11.263,      11.473,      10.421,      10.785,      10.919,
Temperature,    92.793,      11.615,      10.377,      10.250,      11.253,      11.492,      10.418,      10.810,      10.879,
Temperature,    92.834,      11.551,      10.189,      10.093,      11.206,      11.411,      10.410,      10.794,      10.876,
Temperature,    92.876,      11.538,      10.126,      10.022,      11.143,      11.381,      10.400,      10.822,      10.853,
Temperature,    92.918,      11.641,      10.115,       9.994,      11.048,      11.222,      10.389,      10.818,      10.829,
Temperature,    92.959,      11.772,      10.126,       9.985,      10.994,      11.208,      10.379,      10.766,      10.777,
Temperature,    93.001,      11.785,      10.146,       9.991,      10.952,      11.137,      10.367,      10.756,      10.711,
Temperature,    93.043,      11.734,      10.138,       9.983,      10.914,      11.120,      10.356,      10.739,      10.655,
Temperature,    93.084,      11.666,      10.109,       9.964,      10.858,      11.057,      10.346,      10.710,      10.614,
Temperature,    93.126,      11.605,      10.084,       9.951,      10.795,      10.977,      10.336,      10.711,      10.577,
Temperature,    93.168,      11.564,      10.081,       9.955,      10.770,      10.962,      10.325,      10.709,      10.547,
Temperature,    93.209,      11.568,      10.106,       9.978,      10.749,      10.931,      10.315,      10.712,      10.523,
Temperature,    93.251,      11.575,      10.143,      10.015,      10.734,      10.918,      10.304,      10.712,      10.495,
Temperature,    93.293,      11.566,      10.168,      10.050,      10.736,      10.916,      10.295,      10.700,      10.486,
Temperature,    93.334,      11.555,      10.192,      10.082,      10.761,      10.944,      10.292,      10.692,      10.496,
Temperature,    93.376,      11.539,      10.216,      10.122,      10.772,      10.950,      10.297,      10.678,      10.526,
Temperature,    93.418,      11.520,      10.240,      10.167,      10.770,      10.939,      10.311,      10.665,      10.566,
Temperature,    93.459,      11.505,      10.272,      10.217,      10.786,      10.962,      10.332,      10.674,      10.591,
Temperature,    93.501,      11.504,      10.311,      10.272,      10.824,      10.997,      10.357,      10.695,      10.587,
Temperature,    93.543,      11.491,      10.370,      10.351,      10.842,      11.024,      10.383,      10.707,      10.549,
Temperature,    93.584,      11.501,      10.495,      10.493,      10.849,      11.029,      10.408,      10.715,      10.514,
Temperature,    93.626,      11.524,      10.856,      10.853,      10.851,      11.047,      10.430,      10.716,      10.493,
Temperature,    93.668,      11.633,      11.597,      11.497,      10.817,      11.015,      10.448,      10.693,      10.459,
Temperature,    93.709,      11.898,      11.983,      11.795,      10.774,      10.961,      10.460,      10.663,      10.432,
Temperature,    93.751,      12.013,      12.148,      11.936,      10.744,      10.937,      10.464,      10.634,      10.411,
Temperature,    93.793,      12.084,      12.352,      12.153,      10.719,      10.899,      10.462,      10.602,      10.406,
Temperature,    93.834,      12.291,      12.593,      12.372,      10.659,      10.825,      10.456,      10.570,      10.421,
Temperature,    93.876,      12.496,      12.727,      12.470,      10.600,      10.740,      10.450,      10.555,      10.429,
Temperature,    93.918,      12.613,      12.862,      12.606,      10.567,      10.699,      10.443,      10.565,      10.446,
Temperature,    93.959,      12.740,      12.954,      12.652,      10.575,      10.725,      10.437,      10.586,      10.431,
Temperature,    94.001,      12.694,      12.792,      12.434,      10.630,      10.784,      10.429,      10.613,      10.408,
Temperature,    94.043,      12.403,      12.428,      12.068,      10.665,      10.820,      10.423,      10.644,      10.383,
Temperature,    94.084,      12.208,      12.060,      11.743,      10.680,      10.834,      10.416,      10.670,      10.367,
Temperature,    94.126,      12.149,      11.809,      11.531,      10.700,      10.843,      10.410,      10.685,      10.388,
Temperature,    94.168,      12.110,      11.677,      11.397,      10.755,      10.905,      10.403,      10.688,      10.453,
Temperature,    94.209,      12.088,      11.518,      11.234,      10.832,      11.007,      10.397,      10.677,      10.533,
Temperature,    94.251,      12.097,      11.317,      11.054,      10.904,      11.104,      10.391,      10.654,      10.597,
Temperature,    94.293,      12.086,      11.182,      10.927,      10.916,      11.109,      10.386,      10.638,      10.624,
Temperature,    94.334,      12.035,      11.116,      10.863,      10.902,      11.072,      10.384,      10.640,      10.636,
Temperature,    94.376,      11.949,      11.044,      10.805,      10.898,      11.083,      10.387,      10.675,      10.656,
Temperature,    94.418,      11.869,      10.962,      10.741,      10.908,      11.100,      10.393,      10.729,      10.652,
Temperature,    94.459,      11.782,      10.930,      10.725,      10.919,      11.110,      10.405,      10.755,      10.636,
Temperature,    94.501,      11.747,      10.944,      10.735,      10.942,      11.147,      10.423,      10.754,      10.626,
Temperature,    94.543,      11.755,      11.097,      10.847,      10.925,      11.125,      10.443,      10.772,      10.619,
Temperature,    94.584,      11.773,      11.259,      10.967,      10.870,      11.052,      10.465,      10.797,      10.622,
Temperature,    94.626,      11.743,      11.382,      11.104,      10.797,      10.969,      10.481,      10.803,      10.602,
Temperature,    94.668,      11.692,      11.657,      11.277,      10.751,      10.910,      10.487,      10.807,      10.574,
Temperature,    94.709,      11.690,      11.701,      11.347,      10.749,      10.932,      10.489,      10.795,      10.535,
Temperature,    94.751,      11.730,      11.766,      11.421,      10.746,      10.941,      10.488,      10.760,      10.479,
Temperature,    94.793,      11.767,      11.885,      11.548,      10.735,      10.920,      10.484,      10.732,      10.425,
Temperature,    94.834,      11.825,      12.158,      11.787,      10.711,      10.895,      10.462,      10.721,      10.416,
Temperature,    94.876,      11.898,      12.319,      11.925,      10.662,      10.831,      10.444,      10.722,      10.433,
Temperature,    94.918,      11.910,      12.410,      12.011,      10.607,      10.749,      10.439,      10.717,      10.481,
