$Trinity Lake Br3 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
53.833,3.624522158
53.875,3.624522158
53.917,3.624522158
53.958,3.624522158
54,4.3890698
54.042,4.3890698
54.083,4.3890698
54.125,4.3890698
54.167,4.3890698
54.208,4.3890698
54.25,4.3890698
54.292,4.3890698
54.333,4.3890698
54.375,4.3890698
54.417,4.3890698
54.458,4.3890698
54.5,4.3890698
54.542,4.3890698
54.583,4.3890698
54.625,4.3890698
54.667,4.3890698
54.708,4.3890698
54.75,4.3890698
54.792,4.3890698
54.833,4.3890698
54.875,4.3890698
54.917,4.3890698
54.958,4.3890698
55,5.804898768
55.042,5.804898768
55.083,5.804898768
55.125,5.804898768
55.167,5.804898768
55.208,5.804898768
55.25,5.804898768
55.292,5.804898768
55.333,5.804898768
55.375,5.804898768
55.417,5.804898768
55.458,5.804898768
55.5,5.804898768
55.542,5.804898768
55.583,5.804898768
55.625,5.804898768
55.667,5.804898768
55.708,5.804898768
55.75,5.804898768
55.792,5.804898768
55.833,5.804898768
55.875,5.804898768
55.917,5.804898768
55.958,5.804898768
56,13.64859125
56.042,13.64859125
56.083,13.64859125
56.125,13.64859125
56.167,13.64859125
56.208,13.64859125
56.25,13.64859125
56.292,13.64859125
56.333,13.64859125
56.375,13.64859125
56.417,13.64859125
56.458,13.64859125
56.5,13.64859125
56.542,13.64859125
56.583,13.64859125
56.625,13.64859125
56.667,13.64859125
56.708,13.64859125
56.75,13.64859125
56.792,13.64859125
56.833,13.64859125
56.875,13.64859125
56.917,13.64859125
56.958,13.64859125
57,30.0438907
57.042,30.0438907
57.083,30.0438907
57.125,30.0438907
57.167,30.0438907
57.208,30.0438907
57.25,30.0438907
57.292,30.0438907
57.333,30.0438907
57.375,30.0438907
57.417,30.0438907
57.458,30.0438907
57.5,30.0438907
57.542,30.0438907
57.583,30.0438907
57.625,30.0438907
57.667,30.0438907
57.708,30.0438907
57.75,30.0438907
57.792,30.0438907
57.833,30.0438907
57.875,30.0438907
57.917,30.0438907
57.958,30.0438907
58,40.43607532
58.042,40.43607532
58.083,40.43607532
58.125,40.43607532
58.167,40.43607532
58.208,40.43607532
58.25,40.43607532
58.292,40.43607532
58.333,40.43607532
58.375,40.43607532
58.417,40.43607532
58.458,40.43607532
58.5,40.43607532
58.542,40.43607532
58.583,40.43607532
58.625,40.43607532
58.667,40.43607532
58.708,40.43607532
58.75,40.43607532
58.792,40.43607532
58.833,40.43607532
