 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
74,1,5,579.621522,-.731531,-.731522,106.872588,50458058166.696693,-47213283399.231346,1.231531,1.231522,471.845573,471.848649,8.923642,8.923642,-.192898,23731193.904435
75,1,5,579.622006,-.732013,-.732006,109.858245,50458058169.682343,-45930151344.420021,1.232013,1.232006,444.439903,444.442539,8.938607,8.938607,-.204441,25505864.342306
76,1,5,579.622010,-.732017,-.732010,112.408225,50458058172.232323,-44888225928.786407,1.232017,1.232010,438.947856,438.950014,8.927233,8.927233,-.222495,24704323.106165
77,1,5,579.621432,-.731437,-.731432,114.435172,50458058174.259262,-44093137932.166229,1.231437,1.231432,470.081473,470.083178,8.904672,8.904672,-.256948,22127172.801475
78,1,5,579.621084,-.731088,-.731084,116.098969,50458058175.923065,-43461245487.307358,1.231088,1.231084,472.678756,472.679881,8.871690,8.871690,-.246704,20201574.042401
79,1,5,579.621324,-.731326,-.731324,116.966396,50458058176.790489,-43138935350.390816,1.231326,1.231324,463.271075,463.271529,8.867921,8.867921,-.268665,18604479.714000
80,1,5,579.621291,-.731292,-.731291,117.283105,50458058177.107201,-43022443973.507370,1.231292,1.231291,476.866322,476.866204,8.843185,8.843185,-.246663,17744439.139880
81,1,5,579.621349,-.731348,-.731349,117.014898,50458058176.838997,-43121054756.462563,1.231348,1.231349,501.348830,501.348107,8.841438,8.841438,-.245692,17388173.176761
82,1,5,579.621041,-.731039,-.731041,116.133862,50458058175.957962,-43448187423.983177,1.231039,1.231041,549.574070,549.572748,8.802635,8.802635,-.213884,16254760.587393
83,1,5,579.620874,-.730870,-.730874,114.697941,50458058174.522041,-43992121741.934319,1.230870,1.230874,577.546179,577.544334,8.790886,8.790886,-.199331,14814564.903197
84,1,5,579.620854,-.730850,-.730854,112.787844,50458058172.611946,-44737141936.008194,1.230850,1.230854,587.961966,587.959731,8.759951,8.759951,-.183145,13479479.335154
85,1,5,579.621025,-.731020,-.731025,110.576876,50458058170.400970,-45631654651.565536,1.231020,1.231025,565.181487,565.179072,8.741867,8.741867,-.172621,13386146.955660
86,1,5,579.621370,-.731365,-.731370,108.292007,50458058168.116096,-46594443500.766472,1.231365,1.231370,501.939925,501.937575,8.731787,8.731787,-.174729,14155851.812886
87,1,5,579.621833,-.731827,-.731833,106.174543,50458058165.998634,-47523687564.712975,1.231827,1.231833,445.949387,445.947132,8.726686,8.726686,-.184306,14116674.493642
88,1,5,579.622503,-.732497,-.732503,104.046429,50458058163.870514,-48495713562.480042,1.232497,1.232503,446.786286,446.783890,8.709222,8.709222,-.175260,13600570.005438
89,1,5,579.623308,-.733301,-.733308,101.646107,50458058161.470192,-49640915256.929787,1.233301,1.233308,473.646448,473.643793,8.685049,8.685049,-.150962,13569016.865587
90,1,5,579.624251,-.734244,-.734251,99.016206,50458058158.840286,-50959393366.655533,1.234244,1.234251,493.388642,493.385783,8.658865,8.658865,-.131609,13463211.184860
91,1,5,579.625308,-.735301,-.735308,96.219637,50458058156.043716,-52440499352.890381,1.235301,1.235308,496.812070,496.809117,8.627475,8.627475,-.112156,12861927.668860
92,1,5,579.626456,-.736448,-.736456,93.404382,50458058153.228455,-54021082550.947083,1.236448,1.236456,493.772896,493.769915,8.593213,8.593213,-.092566,12239202.351426
93,1,5,579.627634,-.737626,-.737634,90.549155,50458058150.373230,-55724493566.363266,1.237626,1.237634,524.936225,524.933027,8.555143,8.555143,-.065826,11816317.196441
94,1,5,579.628806,-.738799,-.738806,87.319256,50458058147.143326,-57785716792.610046,1.238799,1.238806,582.415697,582.412123,8.518631,8.518631,-.028642,10913719.844592
95,1,5,579.629912,-.739905,-.739912,83.746989,50458058143.571060,-60250593819.175568,1.239905,1.239912,641.194822,641.190879,8.455150,8.455150,.020623,9655312.541935
96,1,5,579.630947,-.740940,-.740947,79.811148,50458058139.635223,-63221817059.561630,1.240940,1.240947,647.204627,647.200634,8.412282,8.412282,.074423,9064882.529954
97,1,5,579.631945,-.741937,-.741945,76.141617,50458058135.965691,-66268698082.733238,1.241937,1.241945,610.270357,610.266550,8.432894,8.432894,.104012,9291600.966776
98,1,5,579.632911,-.742903,-.742911,72.557112,50458058132.381187,-69542538743.643616,1.242903,1.242911,579.747416,579.743728,8.471967,8.471967,.126774,9818276.489660
99,1,5,579.633865,-.743857,-.743865,69.106997,50458058128.931068,-73014398615.462860,1.243857,1.243865,543.719731,543.716170,8.508995,8.508995,.152423,10261900.809656
100,1,5,579.634772,-.744764,-.744772,65.754033,50458058125.578102,-76737586975.771805,1.244764,1.244772,527.717690,527.714094,8.543863,8.543863,.160583,10426158.112784
101,1,5,579.635544,-.745535,-.745544,62.225322,50458058122.049385,-81089268318.405396,1.245535,1.245544,475.109667,475.106268,8.610496,8.610496,.157854,11301773.019225
102,1,5,579.636656,-.746646,-.746656,59.246868,50458058119.058632,-85165780939.042740,1.246646,1.246656,299.945081,299.942801,8.613628,8.613628,.000000,.000000
103,1,5,579.637690,-.747680,-.747690,57.842106,50458058117.666176,-87234130148.844467,1.247680,1.247690,157.145321,157.143969,8.678789,8.678789,-.111710,29404101.569220
104,1,5,579.638691,-.748679,-.748691,56.622939,50458058116.447014,-89112397428.436768,1.248679,1.248691,125.946252,125.944990,8.652998,8.652998,-.158480,36420772.659456
105,1,5,579.640079,-.750066,-.750079,55.392187,50458058115.216263,-91092374361.965866,1.250066,1.250079,134.384426,134.382863,8.586098,8.586098,-.199498,32833080.942640
