$Lewiston Spillway release year 2017 YC 06/22/22,
299.083,5.3100139
299.125,5.2953262
299.167,5.3100705
299.208,5.3099007
299.25,5.2392356
299.292,4.5505268
299.333,4.6673209
299.375,4.6672926
299.417,4.6673209
299.458,4.5526776
299.5,4.5938258
299.542,4.5245191
299.583,4.5371126
299.625,4.5371126
299.667,4.5371126
299.708,4.5371126
299.75,4.5371126
299.792,4.5371409
299.833,4.6405208
299.875,4.6672926
299.917,4.6672926
299.958,4.6672926
300,4.6673209
300.042,4.6673492
300.083,4.8304987
300.125,4.7625221
300.167,4.7316751
300.208,4.7309676
300.25,4.6672926
300.292,4.7317034
300.333,4.7317034
300.375,4.6672926
300.417,4.6673209
300.458,4.6673492
300.5,4.6506805
300.542,4.5371126
300.583,4.6593969
300.625,4.6843009
300.667,4.6843009
300.708,4.6843009
300.75,4.6842726
300.792,4.6843009
300.833,4.6712829
300.875,4.6973189
300.917,4.7769268
300.958,4.7735591
301,4.744495
301.042,4.7458534
301.083,4.7328354
301.125,4.7458534
301.167,4.7458534
301.208,4.6972906
301.25,4.6712829
301.292,4.744495
301.333,4.8059909
301.375,4.6842726
301.417,4.6843292
301.458,4.6842726
301.5,4.6973189
301.542,4.6712829
301.583,4.6843009
301.625,4.6843009
301.667,4.6843009
301.708,4.6843009
301.75,4.6843009
301.792,4.6843292
301.833,4.6843292
301.875,4.6843009
301.917,4.6843009
301.958,4.6843009
302,4.6843009
302.042,4.6843009
302.083,4.6843292
302.125,4.6843009
302.167,4.6843292
302.208,4.6843009
302.25,4.6843009
302.292,4.6843292
302.333,4.6843009
302.375,4.6843292
302.417,4.6843292
302.458,4.6843009
302.5,4.6843009
302.542,4.6843292
302.583,4.6843009
302.625,4.6390209
302.667,4.5951276
302.708,4.6142584
302.75,4.5915052
302.792,4.6843292
302.833,4.6843292
302.875,4.6843009
302.917,4.6842726
302.958,4.6843009
303,4.6712829
303.042,4.6843009
303.083,4.6972906
303.125,4.6842726
303.167,4.6843009
303.208,4.6843009
303.25,4.6843009
303.292,4.6713112
303.333,4.6843292
303.375,4.6843292
303.417,4.6843292
303.458,4.6842726
303.5,4.6843009
303.542,4.6517276
303.583,4.6273613
303.625,4.6390492
303.667,4.6701226
303.708,4.6248709
303.75,4.6842726
303.792,4.6843009
303.833,4.6842726
303.875,4.6843009
303.917,4.6843009
303.958,4.6842726
304,4.6843009
304.042,4.6843292
304.083,4.6843009
304.125,4.6843009
304.167,4.6843292
304.208,4.6842726
304.25,4.6843292
304.292,4.6843292
304.333,4.6843292
304.375,4.6843292
304.417,4.6843009
304.458,4.6843292
304.5,4.6843009
304.542,4.6542463
304.583,4.673745
304.625,4.6539067
304.667,4.6843009
304.708,4.6843292
304.75,4.6843009
304.792,4.6843009
304.833,4.6843292
304.875,4.6843009
304.917,4.8254613
304.958,4.8033024
305,4.9095972
305.042,4.899296
305.083,4.8524878
305.125,4.7728799
305.167,4.8364134
305.208,4.7749175
305.25,4.6973189
305.292,4.6843009
305.333,4.7451459
305.375,4.6843292
305.417,4.6713112
305.458,4.6843292
305.5,4.6843009
305.542,4.6843009
305.583,4.6843292
305.625,4.6843292
305.667,4.6843292
305.708,4.6843292
305.75,4.6843292
305.792,4.6843292
305.833,4.6843009
305.875,4.6843292
305.917,4.6843292
305.958,4.6843292
306,4.6843292
306.042,4.6843292
306.083,4.6843292
306.125,4.6843009
306.167,4.6843292
306.208,4.6843292
306.25,4.6843292
306.292,4.6843292
306.333,4.6843292
306.375,4.6843292
306.417,4.6843292
306.458,4.6843292
306.5,4.6843292
306.542,4.6843292
306.583,4.6093342
306.625,4.6106926
306.667,4.6843292
306.708,4.6843292
306.75,4.6843292
306.792,4.6843292
306.833,4.6843292
306.875,4.6843292
306.917,4.6843292
306.958,4.6843292
307,4.6843292
307.042,4.6713112
307.083,4.6843292
307.125,4.6843292
307.167,4.6843292
307.208,4.6843292
307.25,4.6843292
307.292,4.6843292
307.333,4.6843292
307.375,4.6248992
307.417,4.5925806
307.458,4.6704622
307.5,4.5966558
307.542,4.6404076
307.583,4.6843292
307.625,4.6843292
307.667,4.6843292
307.708,4.6843292
307.75,4.6843292
307.792,4.6843292
307.833,4.6843292
307.875,4.6843292
307.917,4.6843292
307.958,4.6843292
308,4.6843292
308.042,4.6843292
308.083,4.6843292
308.125,4.6843009
308.167,4.6843009
308.208,4.6843009
308.25,4.6843009
308.292,4.6842726
308.333,4.6843009
308.375,4.6843009
308.417,4.6843009
308.458,4.6843009
308.5,4.6843009
308.542,4.6843292
308.583,4.6843292
