$Trinity Lake updated withdrawals year 2018 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
37.292,0.0283,0.0283
37.333,0.0283,0.0283
37.375,0.0283,0.0283
37.417,0.0283,0.0283
37.458,0.0283,0.0283
37.5,0.0283,0.0283
37.542,0.0283,0.0283
37.583,0.0283,0.0283
37.625,2.8006812,0.0283
37.667,51.2067275,0.0283
37.708,53.6476591,0.0283
37.75,53.6314432,0.0283
37.792,53.7258237,0.0283
37.833,53.7458318,0.0283
37.875,53.685949,0.0283
37.917,53.631896,0.0283
37.958,53.6924297,0.0283
38,49.5380746,0.0283
38.042,3.858988,0.0283
38.083,0.0283,0.0283
38.125,0.0283,0.0283
38.167,0.0283,0.0283
38.208,0.0283,0.0283
38.25,0.0283,0.0283
38.292,0.0283,0.0283
38.333,0.0283,0.0283
38.375,0.0283,0.0283
38.417,0.0283,0.0283
38.458,0.0283,0.0283
38.5,0.0283,0.0283
38.542,0.0283,0.0283
38.583,0.0283,0.0283
38.625,0.0283,0.0283
38.667,0.0283,0.0283
38.708,0.0283,0.0283
38.75,1.5381899,0.0283
38.792,2.9876593,0.0283
38.833,51.4539846,0.0283
38.875,53.706042,0.0283
38.917,51.1704469,0.0283
38.958,4.7499569,0.0283
39,0.0283,0.0283
39.042,0.0283,0.0283
39.083,0.0283,0.0283
39.125,0.0283,0.0283
39.167,0.0283,0.0283
39.208,0.0283,0.0283
39.25,0.0283,0.0283
39.292,0.0283,0.0283
39.333,0.0283,0.0283
39.375,0.0283,0.0283
39.417,0.0283,0.0283
39.458,0.0283,0.0283
39.5,0.0283,0.0283
39.542,3.053004,0.0283
39.583,51.3144373,0.0283
39.625,53.6253021,0.0283
39.667,53.643216,0.0283
39.708,53.7016555,0.0283
39.75,53.6981746,0.0283
39.792,53.6800909,0.0283
39.833,53.667837,0.0283
39.875,53.5954456,0.0283
39.917,51.384027,0.0283
39.958,3.1779485,0.0283
40,0.0283,0.0283
40.042,0.0283,0.0283
40.083,0.0283,0.0283
40.125,0.0283,0.0283
40.167,0.0283,0.0283
40.208,0.0283,0.0283
40.25,0.0283,0.0283
40.292,0.0283,0.0283
40.333,0.0283,0.0283
40.375,0.0283,0.0283
40.417,0.0283,0.0283
40.458,0.0283,0.0283
40.5,2.7402324,0.0283
40.542,51.2120762,0.0283
40.583,53.6196138,0.0283
40.625,53.8752194,0.0283
40.667,53.5851444,0.0283
40.708,53.6793834,0.0283
40.75,53.7791975,0.0283
40.792,53.7963756,0.0283
40.833,53.2773536,0.0283
