$Trinity Lake qdt year 2018 YC 08/26/22,
",,,",
JDAY,qdt
34.583,37.08860113
34.625,-3.257398872
34.667,-3.257398872
34.708,-3.257398872
34.75,-12.37239887
34.792,1.212601128
34.833,-6.940398872
34.875,-27.87839887
34.917,-3.257398872
34.958,40.29460113
35,1.628724901
35.042,-6.272275099
35.083,1.628724901
35.125,1.628724901
35.167,32.2707249
35.208,1.628724901
35.25,-52.2142751
35.292,-0.981275099
35.333,1.628724901
35.375,13.9467249
35.417,1.628724901
35.458,1.628724901
35.5,2.034724901
35.542,47.3427249
35.583,5.731724901
35.625,0.752724901
35.667,1.628724901
35.708,-8.231275099
35.75,-0.135275099
35.792,-69.4832751
35.833,1.628724901
35.875,12.8357249
35.917,16.5847249
35.958,1.628724901
36,4.082970361
36.042,10.34597036
36.083,35.75097036
36.125,-2.846029639
36.167,-2.846029639
36.208,-30.34302964
36.25,-2.846029639
36.292,-2.846029639
36.333,-2.846029639
36.375,-2.846029639
36.417,-2.846029639
36.458,-2.846029639
36.5,12.12897036
36.542,8.582970361
36.583,-0.480029639
36.625,-2.775029639
36.667,19.94097036
36.708,-2.846029639
36.75,-35.00502964
36.792,-55.39902964
36.833,-2.846029639
36.875,11.04297036
36.917,-3.573029639
36.958,-2.846029639
37,-16.19888088
37.042,12.79611912
37.083,20.01011912
37.125,23.33611912
37.167,-0.585880878
37.208,-0.585880878
37.25,-0.585880878
37.292,-0.585880878
37.333,-90.92888088
37.375,-42.70188088
37.417,-0.585880878
37.458,17.33611912
37.5,1.248119122
37.542,12.60611912
37.583,43.86011912
37.625,-0.585880878
37.667,-31.97488088
37.708,-0.585880878
37.75,1.735119122
37.792,-0.585880878
37.833,-19.84188088
37.875,-0.585880878
37.917,-0.585880878
37.958,29.12911912
38,1.470318592
38.042,1.470318592
38.083,1.470318592
38.125,10.14331859
38.167,1.470318592
38.208,-48.69968141
38.25,1.470318592
38.292,-31.12268141
38.333,1.470318592
38.375,-22.87468141
38.417,1.470318592
38.458,16.77031859
38.5,42.23731859
38.542,46.12731859
38.583,1.470318592
38.625,1.470318592
38.667,30.62131859
38.708,1.470318592
38.75,-14.40968141
38.792,-29.54368141
38.833,1.470318592
38.875,-2.347681408
38.917,-17.85268141
38.958,1.470318592
39,1.411547396
39.042,-4.961452604
39.083,-39.6734526
39.125,1.411547396
39.167,3.951547396
39.208,28.7405474
39.25,1.411547396
39.292,-28.4294526
39.333,-41.7314526
39.375,-30.1934526
39.417,1.411547396
39.458,1.411547396
39.5,1.411547396
39.542,32.7965474
39.583,27.9735474
39.625,24.1975474
39.667,1.411547396
39.708,10.6915474
39.75,1.411547396
39.792,16.4385474
39.833,1.411547396
39.875,17.0025474
39.917,1.674547396
39.958,1.411547396
40,-2.216519406
40.042,-2.216519406
40.083,-2.216519406
40.125,-5.774519406
40.167,-2.216519406
40.208,-2.216519406
40.25,2.266480594
40.292,-2.216519406
40.333,-2.216519406
40.375,-4.412519406
40.417,-59.21851941
40.458,-2.216519406
40.5,-17.05351941
40.542,-2.216519406
40.583,-2.216519406
40.625,-2.216519406
40.667,2.798480594
40.708,36.78848059
40.75,-2.216519406
40.792,-13.64551941
40.833,-23.16151941
40.875,-2.216519406
40.917,0.393480594
40.958,55.58548059
41,33.12179979
41.042,-0.247200211
41.083,-20.64120021
41.125,-40.67020021
41.167,-0.247200211
41.208,15.13679979
41.25,42.49079979
41.292,-0.247200211
41.333,-18.92820021
41.375,-0.247200211
41.417,59.50679979
41.458,-0.247200211
41.5,-28.45120021
41.542,-16.05020021
41.583,-0.247200211
41.625,-0.247200211
41.667,-0.247200211
41.708,-0.247200211
41.75,-0.247200211
41.792,28.69079979
41.833,-0.247200211
41.875,-15.13920021
41.917,-2.011200211
41.958,-49.06420021
42,-14.5974324
42.042,-14.5974324
42.083,-0.558432397
42.125,-0.558432397
42.167,-0.558432397
42.208,-0.558432397
42.25,3.543567603
42.292,29.3415676
42.333,-0.558432397
42.375,0.950567603
42.417,51.6065676
42.458,-0.558432397
42.5,-0.6924324
42.542,-13.7504324
42.583,-0.558432397
42.625,-0.558432397
42.667,-0.558432397
42.708,-12.0774324
42.75,-0.558432397
42.792,-107.3104324
42.833,-0.558432397
42.875,16.4435676
42.917,54.4825676
42.958,-0.558432397
43,2.052336331
43.042,17.80633633
43.083,23.73233633
43.125,2.052336331
43.167,-18.97066367
43.208,-50.99166367
43.25,2.052336331
43.292,4.592336331
43.333,15.56633633
43.375,2.052336331
43.417,2.052336331
43.458,2.052336331
43.5,58.78733633
43.542,2.052336331
43.583,-47.74266367
43.625,-0.557663669
43.667,2.052336331
43.708,2.052336331
43.75,-18.53366367
43.792,2.052336331
43.833,0.063336331
43.875,-11.32466367
43.917,6.426336331
43.958,2.052336331
44,18.50133793
44.042,-0.113662068
44.083,19.21633793
44.125,-0.113662068
44.167,-0.113662068
44.208,-0.113662068
44.25,-0.113662068
44.292,-2.355662068
44.333,-28.87566207
44.375,-18.52666207
44.417,-0.113662068
44.458,-0.113662068
44.5,3.061337932
44.542,-0.113662068
44.583,18.32433793
44.625,-0.113662068
44.667,11.10333793
44.708,-0.113662068
44.75,-16.90066207
44.792,6.255337932
44.833,29.51533793
44.875,-0.113662068
44.917,-5.608662068
44.958,-13.55566207
45,0.097775112
45.042,29.86877511
45.083,0.097775112
45.125,0.097775112
45.167,-24.86922489
45.208,-17.89622489
45.25,0.097775112
45.292,0.097775112
45.333,0.097775112
45.375,0.097775112
45.417,0.097775112
45.458,0.097775112
45.5,0.097775112
45.542,0.097775112
45.583,-52.03922489
45.625,0.097775112
45.667,50.11577511
45.708,11.80477511
45.75,0.097775112
45.792,0.097775112
45.833,-31.67622489
45.875,0.097775112
45.917,27.32877511
45.958,0.097775112
46,9.655976251
46.042,-0.117023749
46.083,-6.554023749
46.125,-26.79602375
46.167,-0.117023749
46.208,-42.53002375
46.25,-27.34802375
46.292,11.14397625
46.333,-0.117023749
46.375,-0.117023749
46.417,37.52697625
46.458,29.51197625
46.5,18.38197625
46.542,37.62497625
46.583,-0.117023749
46.625,-15.76302375
46.667,-0.117023749
46.708,-19.12502375
46.75,-16.83702375
46.792,-20.38102375
46.833,-15.43702375
46.875,-48.44202375
46.917,-0.117023749
46.958,102.7939763
47,-0.511100154
47.042,-11.02310015
47.083,-0.511100154
47.125,-1.225100154
47.167,1.804899846
47.208,-0.511100154
47.25,-70.16010015
47.292,-0.511100154
47.333,33.15989985
47.375,51.19989985
47.417,-0.511100154
47.458,-14.03910015
47.5,0.930899846
47.542,27.56689985
47.583,17.55589985
47.625,-0.511100154
47.667,-91.79910015
47.708,-0.511100154
47.75,-0.511100154
47.792,-0.511100154
47.833,-32.94910015
47.875,4.310899846
47.917,51.34089985
47.958,-0.511100154
48,33.43303385
48.042,1.015033846
48.083,13.31403385
48.125,32.36903385
48.167,1.015033846
48.208,-76.18896615
48.25,1.015033846
48.292,56.25303385
48.333,1.015033846
48.375,1.015033846
48.417,4.396033846
48.458,46.76503385
48.5,1.015033846
48.542,72.97303385
48.583,-6.071966154
48.625,-9.496966154
48.667,-46.46196615
48.708,1.015033846
48.75,-2.711966154
48.792,0.098033846
48.833,-62.63396615
48.875,-9.566966154
48.917,-32.35396615
48.958,1.015033846
49,30.56070214
49.042,27.96770214
49.083,52.84370214
49.125,-1.93429786
49.167,-17.66629786
49.208,-1.93429786
49.25,-1.93429786
49.292,-1.93429786
49.333,-1.93429786
49.375,-1.93429786
49.417,-27.25529786
49.458,-18.12229786
49.5,-1.93429786
49.542,-1.93429786
49.583,-1.93429786
49.625,-1.93429786
49.667,-1.93429786
49.708,-1.93429786
49.75,-68.14029786
49.792,-1.93429786
49.833,-1.93429786
49.875,-1.93429786
49.917,10.50070214
49.958,17.35570214
50,-8.990519867
50.042,-1.218519867
50.083,-1.218519867
50.125,-1.218519867
50.167,-0.583519867
50.208,-1.218519867
50.25,-1.218519867
50.292,-13.00051987
50.333,-17.47351987
50.375,-1.218519867
50.417,116.4544801
50.458,-1.218519867
50.5,-17.97951987
50.542,14.52448013
50.583,20.06948013
50.625,8.446480133
50.667,-9.119519867
50.708,-22.45751987
50.75,-47.94551987
50.792,-12.64751987
50.833,10.36648013
50.875,-14.34051987
50.917,-27.53251987
50.958,-4.64051987
51,0.496318983
51.042,-1.267681017
51.083,-1.267681017
51.125,-14.75368102
51.167,1.071318983
51.208,43.88031898
51.25,-1.267681017
51.292,-1.267681017
51.333,-16.52568102
51.375,-18.76268102
51.417,-25.88868102
51.458,-1.267681017
51.5,-1.267681017
51.542,-1.267681017
51.583,1.021318983
51.625,-1.267681017
51.667,-13.94368102
51.708,-8.494681017
51.75,-1.267681017
51.792,-1.267681017
51.833,13.62431898
51.875,-1.267681017
51.917,-0.720681017
51.958,17.00531898
52,0.625029018
52.042,39.21402902
52.083,0.625029018
52.125,-44.72997098
52.167,0.625029018
52.208,39.61602902
52.25,41.75402902
52.292,0.625029018
52.333,-74.59697098
52.375,0.625029018
52.417,0.625029018
52.458,54.93102902
52.5,0.625029018
52.542,-3.635970982
52.583,2.964029018
52.625,-3.266970982
52.667,-16.94097098
52.708,-28.52097098
52.75,0.554029018
52.792,-0.221970982
52.833,-10.21497098
52.875,0.625029018
52.917,40.13102902
52.958,0.625029018
53,-1.028110921
53.042,-0.481110921
53.083,-0.481110921
53.125,-1.773110921
53.167,-29.83911092
53.208,-0.481110921
53.25,37.70988908
53.292,-0.481110921
53.333,-42.52411092
53.375,-18.04711092
53.417,-0.481110921
53.458,15.89188908
53.5,29.35988908
53.542,18.77888908
53.583,113.7728891
53.625,-0.481110921
53.667,-161.1171109
53.708,-144.3641109
53.75,12.94688908
53.792,68.01988908
53.833,-0.481110921
53.875,-13.82011092
53.917,-0.481110921
53.958,-0.481110921
54,79.56608901
54.042,0.447089007
54.083,-102.026911
54.125,0.447089007
54.167,0.447089007
54.208,0.447089007
54.25,-2.936910993
54.292,-79.41191099
54.333,33.30408901
54.375,147.820089
54.417,0.447089007
54.458,0.447089007
54.5,0.447089007
54.542,0.447089007
54.583,42.42208901
54.625,-25.41991099
54.667,-17.96591099
54.708,-57.14991099
54.75,0.447089007
54.792,0.447089007
54.833,-9.350910993
54.875,-43.43291099
54.917,1.898089007
54.958,75.62608901
55,0.25927635
55.042,0.25927635
55.083,0.25927635
55.125,1.48027635
55.167,0.25927635
55.208,32.32827635
55.25,0.25927635
55.292,0.25927635
55.333,26.06327635
55.375,74.89827635
55.417,0.25927635
55.458,0.25927635
55.5,0.25927635
55.542,0.25927635
55.583,0.25927635
55.625,-75.19472365
55.667,-112.1217237
55.708,0.25927635
55.75,85.56327635
55.792,0.25927635
55.833,-33.95872365
55.875,-9.62672365
55.917,0.25927635
