 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   14.9696,      8.84,      1.99,    327.66,
   15.0118,      8.84,      0.40,    327.66,
   15.0531,      8.84,      0.40,    327.66,
   15.0949,      8.84,      0.40,    327.66,
   15.1368,      8.84,      0.40,    327.66,
   15.1781,      8.85,      0.40,    327.66,
   15.2198,      8.85,      0.40,    327.66,
   15.2618,      8.85,      0.40,    327.66,
   15.3031,      8.85,      0.40,    327.66,
   15.3448,      8.85,      0.40,    327.66,
   15.3868,      8.85,      0.40,    327.66,
   15.4288,      8.86,      0.45,    327.66,
   15.4705,      8.86,      2.33,    327.66,
   15.5118,      8.86,      1.85,    327.66,
   15.5538,      8.86,     13.27,    327.66,
   15.5954,      8.86,      0.47,    327.66,
   15.6368,      8.86,      0.40,    327.66,
   15.6788,      8.86,      0.40,    327.66,
   15.7204,      8.86,      0.40,    327.66,
   15.7621,      8.87,      0.40,    327.66,
   15.8038,      8.87,      0.40,    327.66,
   15.8454,      8.87,      0.40,    327.66,
   15.8872,      8.87,      0.40,    327.66,
   15.9288,      8.87,      0.40,    327.66,
   15.9705,      8.87,      0.40,    327.66,
   16.0125,      8.87,      0.40,    327.66,
   16.0538,      8.87,      0.40,    327.66,
   16.0957,      8.87,      0.40,    327.66,
   16.1375,      8.87,      0.40,    327.66,
   16.1788,      8.88,      0.40,    327.66,
   16.2207,      8.88,      0.40,    327.66,
   16.2625,      8.88,      0.40,    327.66,
   16.3045,      8.88,      0.40,    327.66,
   16.3456,      8.88,      0.40,    327.66,
   16.3875,      8.88,      0.40,    327.66,
   16.4295,      8.88,      0.40,    327.66,
   16.4713,      8.88,      0.40,    327.66,
   16.5125,      8.88,      0.40,    327.66,
   16.5545,      8.89,      0.40,    327.66,
   16.5963,      8.89,      0.40,    327.66,
   16.6375,      8.89,      0.40,    327.66,
   16.6795,      8.89,      0.40,    327.66,
   16.7213,      8.89,      0.40,    327.66,
   16.7632,      8.89,      0.40,    327.66,
   16.8045,      8.89,      0.40,    327.66,
   16.8463,      8.90,      0.40,    327.66,
   16.8879,      8.90,      0.40,    327.66,
   16.9299,      8.90,      0.40,    327.66,
   16.9712,      8.90,      0.40,    327.66,
   17.0132,      8.90,      0.40,    327.66,
   17.0545,      8.90,      0.40,    327.66,
   17.0965,      8.90,      0.40,    327.66,
   17.1385,      8.91,      0.40,    327.66,
   17.1802,      8.91,      0.40,    327.66,
   17.2219,      8.91,      0.40,    327.66,
   17.2632,      8.91,      0.41,    327.66,
   17.3052,      8.91,      1.30,    327.66,
   17.3465,      8.92,     15.67,    327.66,
   17.3881,      8.91,      1.38,    327.66,
   17.4302,      8.91,      0.40,    327.66,
   17.4721,      8.92,      0.40,    327.66,
   17.5132,      8.92,      0.40,    327.66,
   17.5552,      8.92,      0.40,    327.66,
   17.5971,      8.92,      0.40,    327.66,
   17.6389,      8.92,      0.40,    327.66,
   17.6802,      8.92,      0.40,    327.66,
   17.7220,      8.92,      0.40,    327.66,
   17.7639,      8.92,      0.40,    327.66,
   17.8054,      8.92,      0.40,    327.66,
   17.8468,      8.92,      0.40,    327.66,
   17.8888,      8.92,      0.40,    327.66,
   17.9306,      8.91,      0.40,    327.66,
   17.9723,      8.91,      0.40,    327.66,
   18.0139,      8.91,      0.40,    327.66,
   18.0559,      8.90,      0.40,    327.66,
   18.0974,      8.90,      0.40,    327.66,
   18.1389,      8.90,      0.40,    327.66,
   18.1809,      8.89,      0.40,    327.66,
   18.2224,      8.89,      0.40,    327.66,
   18.2639,      8.89,      0.40,    327.66,
   18.3059,      8.88,      0.40,    327.66,
   18.3474,      8.88,      0.40,    327.66,
   18.3889,      8.88,      0.40,    327.66,
   18.4309,      8.87,      0.40,    327.66,
   18.4724,      8.87,      0.40,    327.66,
   18.5146,      8.87,      0.40,    327.66,
   18.5559,      8.87,      0.40,    327.66,
   18.5981,      8.87,      0.40,    327.66,
   18.6396,      8.87,      0.40,    327.66,
   18.6809,      8.87,      0.40,    327.66,
   18.7230,      8.88,      0.40,    327.66,
   18.7643,      8.88,      0.40,    327.66,
   18.8062,      8.88,      0.40,    327.66,
   18.8479,      8.88,      0.40,    327.66,
   18.8893,      8.88,      0.40,    327.66,
   18.9314,      8.88,      0.40,    327.66,
   18.9733,      8.88,      0.40,    327.66,
   19.0146,      8.89,      0.40,    327.66,
   19.0566,      8.89,      0.40,    327.66,
   19.0984,      8.89,      0.40,    327.66,
   19.1396,      8.89,      0.40,    327.66,
   19.1816,      8.89,      0.40,    327.66,
   19.2234,      8.89,      0.40,    327.66,
   19.2653,      8.89,      0.40,    327.66,
   19.3066,      8.90,      0.40,    327.66,
   19.3484,      8.90,      0.40,    327.66,
   19.3903,      8.90,      0.40,    327.66,
   19.4316,      8.90,      0.40,    327.66,
   19.4734,      8.90,      0.40,    327.66,
   19.5153,      8.90,      0.40,    327.66,
   19.5566,      8.90,      0.40,    327.66,
   19.5984,      8.90,      0.40,    327.66,
   19.6403,      8.91,      0.40,    327.66,
   19.6823,      8.91,      0.40,    327.66,
   19.7233,      8.91,      0.40,    327.66,
   19.7653,      8.91,      0.40,    327.66,
   19.8070,      8.91,      0.40,    327.66,
   19.8484,      8.91,      0.40,    327.66,
   19.8901,      8.92,      0.40,    327.66,
   19.9318,      8.92,      0.40,    327.66,
   19.9740,      8.92,      0.40,    327.66,
   20.0153,      8.92,      0.40,    327.66,
   20.0573,      8.92,      0.40,    327.66,
   20.0989,      8.92,      0.40,    327.66,
   20.1410,      8.92,      0.40,    327.66,
   20.1823,      8.91,      0.40,    327.66,
   20.2239,      8.90,      0.40,    327.66,
   20.2660,      8.90,      0.40,    327.66,
   20.3073,      8.89,      0.40,    327.66,
   20.3489,      8.88,      0.40,    327.66,
   20.3910,      8.88,      0.40,    327.66,
   20.4323,      8.89,      0.40,    327.66,
   20.4745,      8.89,      0.40,    327.66,
   20.5160,      8.89,      0.40,    327.66,
   20.5580,      8.89,      0.40,    327.66,
   20.5995,      8.89,      0.40,    327.66,
   20.6410,      8.89,      0.40,    327.66,
   20.6830,      8.90,      0.40,    327.66,
   20.7245,      8.90,      0.40,    327.66,
   20.7658,      8.90,      0.40,    327.66,
   20.8076,      8.90,      0.40,    327.66,
   20.8495,      8.90,      0.40,    327.66,
   20.8911,      8.90,      0.40,    327.66,
   20.9330,      8.90,      0.40,    327.66,
   20.9744,      8.90,      0.40,    327.66,
   21.0167,      8.91,      0.40,    327.66,
   21.0580,      8.91,      0.40,    327.66,
   21.1000,      8.91,      0.40,    327.66,
   21.1412,      8.91,      0.40,    327.66,
   21.1828,      8.90,      0.40,    327.66,
   21.2247,      8.90,      0.40,    327.66,
   21.2667,      8.89,      0.40,    327.66,
   21.3080,      8.88,      0.40,    327.66,
   21.3499,      8.88,      0.40,    327.66,
   21.3916,      8.88,      0.40,    327.66,
   21.4337,      8.88,      0.40,    327.66,
   21.4749,      8.88,      0.40,    327.66,
   21.5169,      8.88,      0.40,    327.66,
   21.5587,      8.88,      0.40,    327.66,
   21.5999,      8.88,      0.40,    327.66,
   21.6415,      8.88,      0.40,    327.66,
   21.6837,      8.89,      0.40,    327.66,
   21.7256,      8.88,      0.40,    327.66,
   21.7667,      8.88,      0.40,    327.66,
   21.8087,      8.88,      0.48,    327.66,
   21.8506,      8.87,      0.94,    327.66,
   21.8924,      8.87,      0.40,    327.66,
   21.9337,      8.86,      0.40,    327.66,
   21.9756,      8.86,      0.40,    327.66,
   22.0174,      8.86,      0.40,    327.66,
   22.0587,      8.85,      0.40,    327.66,
   22.1006,      8.85,      0.40,    327.66,
   22.1424,      8.85,      0.40,    327.66,
   22.1837,      8.84,      0.40,    327.66,
   22.2256,      8.84,      0.40,    327.66,
   22.2674,      8.84,      0.40,    327.66,
   22.3094,      8.83,      2.03,    327.66,
   22.3505,      8.83,      1.33,    327.66,
   22.3924,      8.83,      0.40,    327.66,
   22.4344,      8.83,      0.40,    327.66,
   22.4755,      8.83,      0.40,    327.66,
   22.5174,      8.83,      0.40,    327.66,
   22.5594,      8.83,      0.40,    327.66,
   22.6012,      8.83,      0.40,    327.66,
   22.6424,      8.84,      0.40,    327.66,
   22.6844,      8.84,      0.40,    327.66,
   22.7258,      8.84,      0.40,    327.66,
   22.7676,      8.84,      1.17,    327.66,
   22.8094,      8.84,     15.71,    327.66,
   22.8510,      8.85,      1.41,    327.66,
   22.8925,      8.85,      0.40,    327.66,
   22.9346,      8.84,      0.40,    327.66,
   22.9760,      8.84,      0.40,    327.66,
   23.0181,      8.84,      0.40,    327.66,
   23.0594,      8.83,      0.40,    327.66,
   23.1010,      8.83,      0.40,    327.66,
   23.1431,      8.82,      0.40,    327.66,
   23.1851,      8.82,      0.40,    327.66,
   23.2267,      8.81,      0.40,    327.66,
   23.2681,      8.81,      0.40,    327.66,
   23.3101,      8.80,      0.40,    327.66,
   23.3517,      8.80,      0.40,    327.66,
   23.3931,      8.79,      0.40,    327.66,
   23.4351,      8.79,      0.40,    327.66,
   23.4767,      8.80,      0.40,    327.66,
   23.5181,      8.80,      0.40,    327.66,
   23.5601,      8.80,      0.40,    327.66,
   23.6016,      8.80,      0.40,    327.66,
   23.6438,      8.80,      0.40,    327.66,
   23.6851,      8.80,      0.40,    327.66,
   23.7266,      8.81,      0.40,    327.66,
   23.7682,      8.81,      0.40,    327.66,
   23.8101,      8.81,      0.40,    327.66,
   23.8522,      8.81,      0.40,    327.66,
   23.8938,      8.81,      0.40,    327.66,
   23.9351,      8.81,      0.40,    327.66,
   23.9773,      8.81,      0.40,    327.66,
   24.0188,      8.81,      0.40,    327.66,
   24.0608,      8.81,      0.40,    327.66,
   24.1022,      8.81,      0.40,    327.66,
   24.1438,      8.81,      0.40,    327.66,
   24.1858,      8.81,      0.40,    327.66,
   24.2272,      8.81,      0.40,    327.66,
   24.2688,      8.81,      0.40,    327.66,
   24.3108,      8.81,      1.28,    327.66,
   24.3522,      8.80,     16.77,    327.66,
   24.3938,      8.80,      1.48,    327.66,
   24.4358,      8.80,      0.40,    327.66,
   24.4772,      8.79,      0.40,    327.66,
   24.5195,      8.79,      0.40,    327.66,
   24.5608,      8.78,      0.40,    327.66,
   24.6022,      8.77,      0.40,    327.66,
   24.6445,      8.76,      0.40,    327.66,
   24.6858,      8.75,      0.40,    327.66,
   24.7279,      8.74,      0.40,    327.66,
   24.7695,      8.73,      1.17,    327.66,
   24.8109,      8.73,      0.49,    327.66,
   24.8526,      8.72,      0.40,    327.66,
   24.8943,      8.72,      0.40,    327.66,
   24.9360,      8.71,      0.40,    327.66,
   24.9779,      8.71,      0.40,    327.66,
   25.0195,      8.71,      0.40,    327.66,
   25.0615,      8.71,      0.40,    327.66,
   25.1029,      8.70,      0.40,    327.66,
   25.1445,      8.70,      0.40,    327.66,
   25.1865,      8.70,      0.40,    327.66,
   25.2279,      8.70,      0.40,    327.66,
   25.2695,      8.70,      0.40,    327.66,
   25.3115,      8.70,      0.40,    327.66,
   25.3529,      8.70,      0.40,    327.66,
   25.3952,      8.70,      0.40,    327.66,
   25.4365,      8.70,      0.40,    327.66,
   25.4786,      8.70,      0.40,    327.66,
   25.5202,      8.70,      0.40,    327.66,
   25.5615,      8.70,      0.40,    327.66,
   25.6036,      8.70,      0.40,    327.66,
   25.6452,      8.70,      0.40,    327.66,
   25.6865,      8.70,      0.40,    327.66,
   25.7286,      8.70,      0.40,    327.66,
   25.7702,      8.70,      0.40,    327.66,
   25.8116,      8.70,      0.40,    327.66,
   25.8533,      8.70,      0.40,    327.66,
   25.8951,      8.71,      0.40,    327.66,
   25.9367,      8.71,      0.40,    327.66,
   25.9787,      8.70,      0.40,    327.66,
   26.0202,      8.70,      0.40,    327.66,
   26.0622,      8.69,      0.40,    327.66,
