 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   17.3048,      8.35,     15.57,    327.66,
   17.3467,      8.35,     15.57,    327.66,
   17.3884,      8.36,     15.86,    327.66,
   17.4300,      8.36,     15.94,    327.66,
   17.4717,      8.37,     29.11,    327.66,
   17.5136,      8.37,     30.21,    327.66,
   17.5550,      8.37,     21.25,    327.66,
   17.5969,      8.39,     37.88,    327.66,
   17.6386,      8.38,     17.89,    327.66,
   17.6800,      8.39,     22.11,    327.66,
   17.7217,      8.42,     83.93,    327.66,
   17.7636,      8.42,     95.73,    327.66,
   17.8051,      8.43,     92.80,    327.66,
   17.8468,      8.43,     78.42,    327.66,
   17.8886,      8.43,     81.06,    327.66,
   17.9304,      8.43,     68.92,    327.66,
   17.9720,      8.43,     50.19,    327.66,
   18.0139,      8.42,     43.75,    327.66,
   18.0553,      8.42,     55.42,    327.66,
   18.0972,      8.41,     56.45,    327.66,
   18.1390,      8.41,     49.57,    327.66,
   18.1805,      8.41,     44.97,    327.66,
   18.2222,      8.40,     47.37,    327.66,
   18.2641,      8.40,     52.41,    327.66,
   18.3056,      8.40,     55.69,    327.66,
   18.3472,      8.40,     53.28,    327.66,
   18.3893,      8.40,     48.09,    327.66,
   18.4307,      8.40,     43.41,    327.66,
   18.4724,      8.40,     37.48,    327.66,
   18.5144,      8.40,     42.75,    327.66,
   18.5559,      8.40,     47.84,    327.66,
   18.5976,      8.41,     53.18,    327.66,
   18.6393,      8.41,     55.78,    327.66,
   18.6809,      8.41,     53.09,    327.66,
   18.7227,      8.40,     55.81,    327.66,
   18.7643,      8.40,     57.40,    327.66,
   18.8059,      8.40,     92.46,    327.66,
   18.8478,      8.40,     94.05,    327.66,
   18.8894,      8.40,     93.94,    327.66,
   18.9312,      8.40,     89.22,    327.66,
   18.9728,      8.40,     58.29,    327.66,
   19.0148,      8.40,     56.98,    327.66,
   19.0564,      8.40,     62.98,    327.66,
   19.0979,      8.40,     63.68,    327.66,
   19.1398,      8.40,     58.47,    327.66,
   19.1815,      8.39,     58.19,    327.66,
   19.2231,      8.39,     57.80,    327.66,
   19.2650,      8.39,     57.82,    327.66,
   19.3063,      8.39,     64.61,    327.66,
   19.3482,      8.39,     63.83,    327.66,
   19.3899,      8.39,     60.61,    327.66,
   19.4317,      8.39,     53.04,    327.66,
   19.4733,      8.39,     50.46,    327.66,
   19.5149,      8.39,     54.26,    327.66,
   19.5568,      8.39,     60.04,    327.66,
   19.5982,      8.39,     59.20,    327.66,
   19.6400,      8.39,     60.17,    327.66,
   19.6818,      8.39,     42.76,    327.66,
   19.7236,      8.39,     45.63,    327.66,
   19.7653,      8.38,     40.73,    327.66,
   19.8069,      8.38,     41.37,    327.66,
   19.8486,      8.38,     45.52,    327.66,
   19.8902,      8.38,     49.55,    327.66,
   19.9322,      8.38,     46.56,    327.66,
   19.9737,      8.38,     41.69,    327.66,
   20.0154,      8.37,     40.49,    327.66,
   20.0569,      8.37,     40.38,    327.66,
   20.0988,      8.37,     39.69,    327.66,
   20.1406,      8.37,     42.69,    327.66,
   20.1821,      8.37,     37.86,    327.66,
   20.2242,      8.37,     37.83,    327.66,
   20.2658,      8.37,     37.76,    327.66,
   20.3072,      8.37,     38.26,    327.66,
   20.3489,      8.37,     49.16,    327.66,
   20.3908,      8.36,     50.01,    327.66,
   20.4325,      8.36,     48.54,    327.66,
   20.4743,      8.36,     45.47,    327.66,
   20.5159,      8.36,     38.22,    327.66,
   20.5577,      8.37,     51.83,    327.66,
   20.5991,      8.37,     49.74,    327.66,
   20.6410,      8.36,     49.37,    327.66,
   20.6827,      8.36,     48.94,    327.66,
   20.7245,      8.36,     50.48,    327.66,
   20.7661,      8.36,     49.20,    327.66,
   20.8076,      8.36,     47.21,    327.66,
   20.8494,      8.36,     46.90,    327.66,
   20.8912,      8.36,     46.31,    327.66,
   20.9329,      8.36,     38.35,    327.66,
   20.9744,      8.36,     37.95,    327.66,
   21.0161,      8.36,     37.88,    327.66,
   21.0582,      8.36,     37.71,    327.66,
   21.0997,      8.35,     37.70,    327.66,
   21.1415,      8.35,     37.69,    327.66,
   21.1832,      8.34,     37.88,    327.66,
   21.2246,      8.34,     38.02,    327.66,
   21.2664,      8.33,     41.02,    327.66,
   21.3080,      8.33,     51.46,    327.66,
   21.3497,      8.32,     49.01,    327.66,
   21.3915,      8.32,     37.69,    327.66,
   21.4331,      8.32,     37.72,    327.66,
   21.4751,      8.33,     37.71,    327.66,
   21.5168,      8.33,     37.96,    327.66,
   21.5583,      8.32,     37.68,    327.66,
   21.6002,      8.32,     37.81,    327.66,
   21.6420,      8.32,     38.61,    327.66,
   21.6833,      8.32,     51.23,    327.66,
   21.7250,      8.33,     74.85,    327.66,
   21.7667,      8.31,     69.46,    327.66,
   21.8085,      8.31,     68.06,    327.66,
   21.8503,      8.31,     57.64,    327.66,
   21.8919,      8.31,     60.63,    327.66,
   21.9337,      8.31,     55.24,    327.66,
   21.9753,      8.31,     44.17,    327.66,
   22.0172,      8.31,     37.24,    327.66,
   22.0591,      8.30,      6.08,    327.66,
   22.1003,      8.30,      3.88,    327.66,
   22.1424,      8.31,      4.10,    327.66,
   22.1837,      8.30,      4.12,    327.66,
   22.2258,      8.30,      4.14,    327.66,
   22.2674,      8.29,      4.81,    327.66,
   22.3094,      8.29,     27.46,    327.66,
   22.3508,      8.29,     29.04,    327.66,
   22.3924,      8.30,     26.34,    327.66,
   22.4343,      8.31,     16.71,    327.66,
   22.4758,      8.31,     17.38,    327.66,
   22.5174,      8.32,     26.48,    327.66,
   22.5593,      8.34,     26.53,    327.66,
   22.6009,      8.34,     25.60,    327.66,
   22.6424,      8.34,      4.27,    327.66,
   22.6843,      8.35,      2.17,    327.66,
   22.7259,      8.35,      2.29,    327.66,
   22.7681,      8.35,      3.27,    327.66,
   22.8094,      8.35,      5.80,    327.66,
   22.8510,      8.36,     56.07,    327.66,
   22.8931,      8.36,     19.98,    327.66,
   22.9344,      8.37,      3.75,    327.66,
   22.9760,      8.37,      5.03,    327.66,
   23.0181,      8.37,      2.29,    327.66,
   23.0594,      8.37,     20.05,    327.66,
   23.1017,      8.37,     17.20,    327.66,
   23.1431,      8.37,     17.25,    327.66,
   23.1851,      8.36,     17.16,    327.66,
   23.2267,      8.36,     17.45,    327.66,
   23.2681,      8.35,     17.56,    327.66,
   23.3101,      8.35,     17.58,    327.66,
   23.3517,      8.34,     17.22,    327.66,
   23.3931,      8.34,     18.92,    327.66,
   23.4350,      8.35,     44.41,    327.66,
   23.4764,      8.35,     45.51,    327.66,
   23.5183,      8.35,     45.64,    327.66,
   23.5601,      8.34,     45.43,    327.66,
   23.6017,      8.33,     45.38,    327.66,
   23.6431,      8.33,     45.22,    327.66,
   23.6849,      8.32,     48.67,    327.66,
