Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/READING CK-FLOW/FLOW//1DAY/236.104.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/READING CK-TEMP-WATER/TEMP-WATER//1DAY/236.104.50.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/RUSH CK-FLOW/FLOW//1DAY/236.100.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/RUSH CK-TEMP-WATER/TEMP-WATER//1DAY/236.100.50.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/WEAVER CK-FLOW/FLOW//1DAY/236.103.125.1.1/
Trinity River Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-TRINITY RIVER/WEAVER CK-TEMP-WATER/TEMP-WATER//1DAY/236.103.50.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/CLEAR CREEK AB WHISKEYTOWN LAKE-FLOW/FLOW//1DAY/233.131.125.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/CLEAR CREEK AB WHISKEYTOWN LAKE-TEMPERATURE/TEMP-WATER//1HOUR/233.131.50.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/CLEAR CREEK TUNNEL BYPASS-CARR BYPASS RELEASE/FLOW//1HOUR/233.6.125.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/JCR-GENERATION RELEASE/FLOW//1HOUR/233.13.125.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/JCR-TEMPERATURE_1/TEMP-WATER//1HOUR/233.13.50.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/WHI-GENERATION RELEASE/FLOW//1HOUR/233.14.125.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/WHI-OUTLET RELEASE/FLOW//1HOUR/233.14.125.2.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/WHI-RESERVOIR STORAGE/STOR//1HOUR/233.14.165.1.1/
Whiskeytown Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-WHISKEYTOWN LAKE/WHI-SPILL RELEASE/FLOW//1HOUR/233.14.125.5.1/
Sacramento R Met,shared\DMS_SacTrnMet.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-AIR TEMPERATURE/TEMP-AIR//1HOUR/235.40.53.1.1/
