$Trinity Lake Br3 inflow year 2017 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
285.292,0.707914484
285.333,0.707914484
285.375,0.707914484
285.417,0.707914484
285.458,0.707914484
285.5,0.707914484
285.542,0.707914484
285.583,0.707914484
285.625,0.707914484
285.667,0.707914484
285.708,0.707914484
285.75,0.707914484
285.792,0.707914484
285.833,0.707914484
285.875,0.707914484
285.917,0.707914484
285.958,0.707914484
286,0.707914484
286.042,0.707914484
286.083,0.707914484
286.125,0.707914484
286.167,0.707914484
286.208,0.707914484
286.25,0.707914484
286.292,0.707914484
286.333,0.707914484
286.375,0.707914484
286.417,0.707914484
286.458,0.707914484
286.5,0.707914484
286.542,0.707914484
286.583,0.707914484
286.625,0.707914484
286.667,0.707914484
286.708,0.707914484
286.75,0.707914484
286.792,0.707914484
286.833,0.707914484
286.875,0.707914484
286.917,0.707914484
286.958,0.707914484
287,0.707914484
287.042,0.707914484
287.083,0.707914484
287.125,0.707914484
287.167,0.707914484
287.208,0.707914484
287.25,0.707914484
287.292,0.707914484
287.333,0.707914484
287.375,0.707914484
287.417,0.707914484
287.458,0.707914484
287.5,0.707914484
287.542,0.707914484
287.583,0.707914484
287.625,0.707914484
287.667,0.707914484
287.708,0.707914484
287.75,0.707914484
287.792,0.707914484
287.833,0.707914484
287.875,0.707914484
287.917,0.707914484
287.958,0.707914484
288,0.707914484
288.042,0.707914484
288.083,0.707914484
288.125,0.707914484
288.167,0.707914484
288.208,0.707914484
288.25,0.707914484
288.292,0.707914484
288.333,0.707914484
288.375,0.707914484
288.417,0.707914484
288.458,0.707914484
288.5,0.707914484
288.542,0.707914484
288.583,0.707914484
288.625,0.707914484
288.667,0.707914484
288.708,0.707914484
288.75,0.707914484
288.792,0.707914484
288.833,0.707914484
288.875,0.707914484
288.917,0.707914484
288.958,0.707914484
289,0.707914484
289.042,0.707914484
289.083,0.707914484
289.125,0.707914484
289.167,0.707914484
289.208,0.707914484
289.25,0.707914484
289.292,0.707914484
289.333,0.707914484
289.375,0.707914484
289.417,0.707914484
289.458,0.707914484
289.5,0.707914484
289.542,0.707914484
289.583,0.707914484
289.625,0.707914484
289.667,0.707914484
289.708,0.707914484
289.75,0.707914484
289.792,0.707914484
289.833,0.707914484
289.875,0.707914484
289.917,0.707914484
289.958,0.707914484
290,0.707914484
290.042,0.707914484
290.083,0.707914484
290.125,0.707914484
290.167,0.707914484
290.208,0.707914484
290.25,0.707914484
290.292,0.707914484
290.333,0.707914484
290.375,0.707914484
290.417,0.707914484
290.458,0.707914484
290.5,0.707914484
290.542,0.707914484
290.583,0.707914484
290.625,0.707914484
290.667,0.707914484
290.708,0.707914484
290.75,0.707914484
290.792,0.707914484
290.833,0.707914484
290.875,0.707914484
290.917,0.707914484
290.958,0.707914484
291,0.707914484
291.042,0.707914484
291.083,0.707914484
291.125,0.707914484
291.167,0.707914484
291.208,0.707914484
291.25,0.707914484
291.292,0.707914484
291.333,0.707914484
291.375,0.707914484
291.417,0.707914484
291.458,0.707914484
291.5,0.707914484
291.542,0.707914484
291.583,0.707914484
291.625,0.707914484
291.667,0.707914484
291.708,0.707914484
291.75,0.707914484
291.792,0.707914484
291.833,0.707914484
291.875,0.707914484
291.917,0.707914484
291.958,0.707914484
292,0.707914484
292.042,0.707914484
292.083,0.707914484
292.125,0.707914484
292.167,0.707914484
292.208,0.707914484
292.25,0.707914484
292.292,0.707914484
292.333,0.707914484
292.375,0.707914484
292.417,0.707914484
292.458,0.707914484
292.5,0.707914484
292.542,0.707914484
292.583,0.707914484
292.625,0.707914484
292.667,0.707914484
292.708,0.707914484
292.75,0.707914484
292.792,0.707914484
292.833,0.707914484
292.875,0.707914484
292.917,0.707914484
292.958,0.707914484
293,0.707914484
293.042,0.707914484
293.083,0.707914484
293.125,0.707914484
293.167,0.707914484
293.208,0.707914484
293.25,0.707914484
293.292,0.707914484
293.333,0.707914484
293.375,0.707914484
293.417,0.707914484
293.458,0.707914484
293.5,0.707914484
293.542,0.707914484
293.583,0.707914484
293.625,0.707914484
293.667,0.707914484
293.708,0.707914484
293.75,0.707914484
293.792,0.707914484
293.833,0.707914484
293.875,0.707914484
293.917,0.707914484
293.958,0.707914484
294,0.707914484
294.042,0.707914484
294.083,0.707914484
294.125,0.707914484
294.167,0.707914484
294.208,0.707914484
294.25,0.707914484
294.292,0.707914484
294.333,0.707914484
294.375,0.707914484
294.417,0.707914484
294.458,0.707914484
294.5,0.707914484
294.542,0.707914484
294.583,0.707914484
294.625,0.707914484
294.667,0.707914484
294.708,0.707914484
294.75,0.707914484
294.792,0.707914484
294.833,0.707914484
294.875,0.707914484
294.917,0.707914484
294.958,0.707914484
295,0.707914484
295.042,0.707914484
295.083,0.707914484
295.125,0.707914484
295.167,0.707914484
295.208,0.707914484
295.25,0.707914484
295.292,0.707914484
295.333,0.707914484
295.375,0.707914484
295.417,0.707914484
295.458,0.707914484
295.5,0.707914484
295.542,0.707914484
295.583,0.707914484
295.625,0.707914484
295.667,0.707914484
295.708,0.707914484
295.75,0.707914484
295.792,0.707914484
295.833,0.707914484
295.875,0.707914484
295.917,0.707914484
295.958,0.707914484
296,0.707914484
296.042,0.707914484
296.083,0.707914484
296.125,0.707914484
296.167,0.707914484
296.208,0.707914484
296.25,0.707914484
296.292,0.707914484
296.333,0.707914484
296.375,0.707914484
296.417,0.707914484
296.458,0.707914484
296.5,0.707914484
296.542,0.707914484
296.583,0.707914484
296.625,0.707914484
296.667,0.707914484
296.708,0.707914484
296.75,0.707914484
296.792,0.707914484
296.833,0.707914484
296.875,0.707914484
296.917,0.707914484
296.958,0.707914484
297,0.707914484
297.042,0.707914484
297.083,0.707914484
297.125,0.707914484
297.167,0.707914484
297.208,0.707914484
297.25,0.707914484
297.292,0.707914484
297.333,0.707914484
297.375,0.707914484
297.417,0.707914484
297.458,0.707914484
297.5,0.707914484
297.542,0.707914484
297.583,0.707914484
297.625,0.707914484
297.667,0.707914484
297.708,0.707914484
297.75,0.707914484
297.792,0.707914484
297.833,0.707914484
297.875,0.707914484
297.917,0.707914484
297.958,0.707914484
298,0.707914484
298.042,0.707914484
298.083,0.707914484
298.125,0.707914484
298.167,0.707914484
298.208,0.707914484
298.25,0.707914484
298.292,0.707914484
298.333,0.707914484
298.375,0.707914484
298.417,0.707914484
298.458,0.707914484
298.5,0.707914484
298.542,0.707914484
298.583,0.707914484
298.625,0.707914484
298.667,0.707914484
298.708,0.707914484
298.75,0.707914484
298.792,0.707914484
298.833,0.707914484
298.875,0.707914484
298.917,0.707914484
298.958,0.707914484
299,0.707914484
299.042,0.707914484
299.083,0.707914484
299.125,0.707914484
299.167,0.707914484
299.208,0.707914484
299.25,0.707914484
299.292,0.707914484
299.333,0.707914484
299.375,0.707914484
299.417,0.707914484
299.458,0.707914484
299.5,0.707914484
299.542,0.707914484
299.583,0.707914484
299.625,0.707914484
299.667,0.707914484
299.708,0.707914484
299.75,0.707914484
299.792,0.707914484
299.833,0.707914484
299.875,0.707914484
299.917,0.707914484
299.958,0.707914484
300,0.707914484
300.042,0.707914484
300.083,0.707914484
300.125,0.707914484
300.167,0.707914484
300.208,0.707914484
300.25,0.707914484
300.292,0.707914484
300.333,0.707914484
300.375,0.707914484
300.417,0.707914484
300.458,0.707914484
300.5,0.707914484
300.542,0.707914484
300.583,0.707914484
300.625,0.707914484
300.667,0.707914484
300.708,0.707914484
300.75,0.707914484
300.792,0.707914484
300.833,0.707914484
300.875,0.707914484
300.917,0.707914484
300.958,0.707914484
301,0.707914484
301.042,0.707914484
301.083,0.707914484
301.125,0.707914484
301.167,0.707914484
301.208,0.707914484
301.25,0.707914484
301.292,0.707914484
301.333,0.707914484
301.375,0.707914484
301.417,0.707914484
301.458,0.707914484
301.5,0.707914484
301.542,0.707914484
301.583,0.707914484
301.625,0.707914484
301.667,0.707914484
301.708,0.707914484
301.75,0.707914484
301.792,0.707914484
301.833,0.707914484
301.875,0.707914484
301.917,0.707914484
301.958,0.707914484
302,0.707914484
302.042,0.707914484
302.083,0.707914484
302.125,0.707914484
302.167,0.707914484
302.208,0.707914484
302.25,0.707914484
302.292,0.707914484
302.333,0.707914484
302.375,0.707914484
302.417,0.707914484
302.458,0.707914484
302.5,0.707914484
302.542,0.707914484
302.583,0.707914484
302.625,0.707914484
302.667,0.707914484
302.708,0.707914484
302.75,0.707914484
302.792,0.707914484
302.833,0.707914484
302.875,0.707914484
302.917,0.707914484
302.958,0.707914484
303,0.707914484
303.042,0.707914484
303.083,0.707914484
303.125,0.707914484
303.167,0.707914484
303.208,0.707914484
303.25,0.707914484
303.292,0.707914484
303.333,0.707914484
303.375,0.707914484
303.417,0.707914484
303.458,0.707914484
303.5,0.707914484
303.542,0.707914484
303.583,0.707914484
303.625,0.707914484
303.667,0.707914484
303.708,0.707914484
303.75,0.707914484
303.792,0.707914484
303.833,0.707914484
303.875,0.707914484
303.917,0.707914484
303.958,0.707914484
304,0.707914484
304.042,0.707914484
304.083,0.707914484
304.125,0.707914484
304.167,0.707914484
304.208,0.707914484
304.25,0.707914484
304.292,0.707914484
304.333,0.707914484
304.375,0.707914484
304.417,0.707914484
304.458,0.707914484
304.5,0.707914484
304.542,0.707914484
304.583,0.707914484
304.625,0.707914484
304.667,0.707914484
304.708,0.707914484
304.75,0.707914484
304.792,0.707914484
304.833,0.707914484
304.875,0.707914484
304.917,0.707914484
304.958,0.707914484
305,0.594648167
305.042,0.594648167
305.083,0.594648167
305.125,0.594648167
305.167,0.594648167
305.208,0.594648167
305.25,0.594648167
305.292,0.594648167
305.333,0.594648167
305.375,0.594648167
305.417,0.594648167
305.458,0.594648167
305.5,0.594648167
305.542,0.594648167
305.583,0.594648167
305.625,0.594648167
305.667,0.594648167
305.708,0.594648167
305.75,0.594648167
305.792,0.594648167
305.833,0.594648167
305.875,0.594648167
305.917,0.594648167
305.958,0.594648167
306,0.538015008
306.042,0.538015008
306.083,0.538015008
306.125,0.538015008
306.167,0.538015008
306.208,0.538015008
306.25,0.538015008
306.292,0.538015008
306.333,0.538015008
306.375,0.538015008
306.417,0.538015008
306.458,0.538015008
306.5,0.538015008
306.542,0.538015008
306.583,0.538015008
306.625,0.538015008
306.667,0.538015008
306.708,0.538015008
306.75,0.538015008
306.792,0.538015008
306.833,0.538015008
306.875,0.538015008
306.917,0.538015008
306.958,0.538015008
307,0.481381849
307.042,0.481381849
307.083,0.481381849
307.125,0.481381849
307.167,0.481381849
307.208,0.481381849
307.25,0.481381849
307.292,0.481381849
307.333,0.481381849
307.375,0.481381849
307.417,0.481381849
307.458,0.481381849
307.5,0.481381849
307.542,0.481381849
307.583,0.481381849
307.625,0.481381849
307.667,0.481381849
307.708,0.481381849
307.75,0.481381849
307.792,0.481381849
307.833,0.481381849
307.875,0.481381849
307.917,0.481381849
307.958,0.481381849
308,0.538015008
308.042,0.538015008
308.083,0.538015008
308.125,0.538015008
308.167,0.538015008
308.208,0.538015008
308.25,0.538015008
308.292,0.538015008
308.333,0.538015008
308.375,0.538015008
308.417,0.538015008
308.458,0.538015008
308.5,0.538015008
308.542,0.538015008
308.583,0.538015008
308.625,0.538015008
308.667,0.538015008
308.708,0.538015008
308.75,0.538015008
308.792,0.538015008
308.833,0.538015008
308.875,0.538015008
308.917,0.538015008
308.958,0.538015008
309,0.849497381
309.042,0.849497381
309.083,0.849497381
309.125,0.849497381
309.167,0.849497381
309.208,0.849497381
309.25,0.849497381
309.292,0.849497381
309.333,0.849497381
309.375,0.849497381
309.417,0.849497381
309.458,0.849497381
309.5,0.849497381
309.542,0.849497381
309.583,0.849497381
309.625,0.849497381
309.667,0.849497381
309.708,0.849497381
